X=-16.882 Y=-11.155 Z=163.952
X=-16.882 Y=-11.155 Z=163.952
X=-14.674 Y=-9.174 Z=161.188
X=-12.898 Y=-7.638 Z=158.102
X=-12.898 Y=-7.638 Z=158.102
X=-12.422 Y=-7.771 Z=157.331
X=-12.422 Y=-7.771 Z=157.331
X=-13.119 Y=-8.292 Z=157.300
X=-13.262 Y=-8.444 Z=157.373
X=-13.802 Y=-8.226 Z=157.529
X=-13.908 Y=-7.753 Z=157.505
X=-14.010 Y=-6.898 Z=157.505
X=-13.950 Y=-6.116 Z=157.612
X=-13.738 Y=-5.978 Z=157.584
X=-13.766 Y=-5.872 Z=157.582
X=-13.918 Y=-5.821 Z=157.666
X=-14.119 Y=-5.725 Z=157.311
X=-13.909 Y=-5.589 Z=156.743
X=-13.791 Y=-4.554 Z=156.220
X=-13.712 Y=-2.655 Z=155.508
X=-14.206 Y=-0.878 Z=154.788
X=-14.477 Y=1.006 Z=153.828
X=-14.262 Y=2.793 Z=153.320
X=-13.423 Y=4.689 Z=151.774
X=-12.451 Y=5.787 Z=150.493
X=-11.641 Y=5.585 Z=148.331
X=-11.233 Y=3.264 Z=147.961
X=-11.109 Y=-0.948 Z=148.007
X=-10.643 Y=-3.144 Z=147.960
X=-10.481 Y=-4.307 Z=148.511
X=-10.759 Y=-5.089 Z=149.601
X=-10.943 Y=-5.661 Z=150.356
X=-11.082 Y=-7.197 Z=150.760
X=-10.950 Y=-9.049 Z=150.870
X=-11.083 Y=-10.583 Z=150.359
X=-11.507 Y=-11.255 Z=150.388
X=-11.922 Y=-11.082 Z=150.269
X=-12.523 Y=-9.739 Z=150.252
X=-12.885 Y=-8.066 Z=150.209
X=-12.581 Y=-6.531 Z=150.457
X=-11.379 Y=-4.670 Z=151.247
X=-10.700 Y=-3.516 Z=151.785
X=-10.130 Y=-3.328 Z=152.376
X=-9.616 Y=-3.593 Z=152.221
X=-9.232 Y=-4.569 Z=152.123
X=-8.616 Y=-6.412 Z=151.894
X=-8.132 Y=-8.132 Z=150.599
X=-11.822 Y=-8.566 Z=150.300
X=-18.319 Y=-6.898 Z=150.152
X=-26.638 Y=-3.528 Z=149.915
X=-34.492 Y=-0.717 Z=151.421
X=-40.234 Y=0.290 Z=152.574
X=-43.371 Y=-1.138 Z=152.891
X=-45.745 Y=-3.236 Z=153.476
X=-48.130 Y=-4.416 Z=154.443
X=-49.349 Y=-5.030 Z=154.751
X=-51.186 Y=-7.332 Z=155.155
X=-52.963 Y=-9.631 Z=155.143
X=-54.608 Y=-11.441 Z=153.941
X=-56.658 Y=-13.096 Z=154.053
X=-58.315 Y=-13.630 Z=154.993
X=-59.237 Y=-13.592 Z=155.917
X=-59.666 Y=-13.808 Z=156.548
X=-59.847 Y=-13.774 Z=156.957
X=-60.081 Y=-13.743 Z=157.512
X=-60.221 Y=-13.483 Z=158.201
X=-60.225 Y=-12.868 Z=158.746
X=-59.525 Y=-12.264 Z=159.475
X=-59.370 Y=-11.730 Z=159.764
X=-59.238 Y=-11.354 Z=160.022
X=-58.987 Y=-10.982 Z=160.064
X=-57.782 Y=-11.072 Z=159.522
X=-55.450 Y=-13.574 Z=158.943
X=-51.675 Y=-19.204 Z=157.881
X=-46.577 Y=-28.560 Z=157.088
X=-41.124 Y=-39.441 Z=158.751
X=-36.678 Y=-46.723 Z=159.262
X=-31.682 Y=-49.401 Z=158.229
X=-27.048 Y=-47.633 Z=156.701
X=-24.168 Y=-43.859 Z=156.201
X=-22.303 Y=-39.645 Z=155.550
X=-20.993 Y=-35.525 Z=154.645
X=-20.297 Y=-31.878 Z=153.462
X=-19.854 Y=-29.543 Z=152.277
X=-19.139 Y=-29.350 Z=151.838
X=-17.907 Y=-31.369 Z=150.788
X=-15.737 Y=-33.916 Z=149.730
X=-13.715 Y=-35.125 Z=148.559
X=-12.264 Y=-34.130 Z=147.818
X=-11.786 Y=-31.278 Z=147.801
X=-11.457 Y=-27.657 Z=148.058
X=-11.147 Y=-25.378 Z=147.724
X=-10.691 Y=-24.539 Z=147.919
X=-10.074 Y=-25.262 Z=147.941
X=-8.999 Y=-27.217 Z=148.481
X=-8.022 Y=-28.917 Z=148.839
X=-7.947 Y=-29.297 Z=150.020
X=-10.006 Y=-28.207 Z=154.883
X=-12.168 Y=-28.119 Z=157.495
X=-14.314 Y=-28.010 Z=158.982
X=-15.316 Y=-27.927 Z=159.771
X=-15.191 Y=-28.665 Z=160.140
X=-15.143 Y=-29.193 Z=160.212
X=-14.581 Y=-29.293 Z=160.365
X=-13.838 Y=-29.404 Z=160.239
X=-12.988 Y=-29.532 Z=160.203
X=-11.424 Y=-30.356 Z=160.033
X=-8.216 Y=-32.199 Z=156.787
X=-5.105 Y=-34.715 Z=152.752
X=-2.027 Y=-37.190 Z=150.749
X=1.862 Y=-39.643 Z=149.007
X=4.491 Y=-40.966 Z=147.827
X=5.448 Y=-41.287 Z=147.550
X=5.546 Y=-40.966 Z=147.544
X=3.267 Y=-38.956 Z=148.429
X=-0.342 Y=-35.639 Z=149.539
X=-3.775 Y=-31.872 Z=150.165
X=-6.516 Y=-28.272 Z=150.445
X=-8.357 Y=-25.285 Z=150.742
X=-9.173 Y=-24.448 Z=151.061
X=-9.136 Y=-25.341 Z=151.390
X=-9.413 Y=-26.541 Z=152.180
X=-10.045 Y=-27.028 Z=152.624
X=-10.643 Y=-27.055 Z=153.115
X=-11.579 Y=-26.845 Z=154.245
X=-13.420 Y=-26.811 Z=157.014
X=-16.128 Y=-26.918 Z=159.230
X=-18.127 Y=-27.232 Z=159.800
X=-19.226 Y=-27.486 Z=160.201
X=-19.512 Y=-27.562 Z=160.334
X=-19.405 Y=-27.599 Z=160.347
X=-18.889 Y=-27.643 Z=160.529
X=-18.287 Y=-27.721 Z=160.435
X=-17.944 Y=-27.675 Z=160.729
X=-17.811 Y=-27.846 Z=160.877
X=-17.723 Y=-27.993 Z=160.868
X=-17.684 Y=-27.990 Z=160.873
X=-17.701 Y=-27.730 Z=160.825
X=-17.672 Y=-27.392 Z=160.783
X=-15.921 Y=-27.006 Z=159.392
X=-12.706 Y=-27.443 Z=156.604
X=-10.071 Y=-28.985 Z=155.134
X=-8.261 Y=-31.315 Z=153.797
X=-7.636 Y=-33.160 Z=151.860
X=-11.842 Y=-33.581 Z=151.275
X=-22.052 Y=-31.931 Z=151.063
X=-36.251 Y=-28.320 Z=151.129
X=-46.349 Y=-26.211 Z=154.852
X=-52.810 Y=-26.295 Z=155.963
X=-55.856 Y=-27.741 Z=156.309
X=-57.258 Y=-29.713 Z=156.677
X=-57.760 Y=-31.112 Z=156.889
X=-57.768 Y=-30.923 Z=157.112
X=-58.449 Y=-26.876 Z=157.175
X=-60.975 Y=-25.674 Z=156.965
X=-63.622 Y=-26.463 Z=157.500
X=-65.167 Y=-27.033 Z=157.980
X=-65.731 Y=-27.479 Z=159.037
X=-65.541 Y=-27.421 Z=159.638
X=-64.724 Y=-27.237 Z=159.609
X=-63.357 Y=-26.328 Z=158.936
X=-61.038 Y=-22.374 Z=157.944
X=-57.350 Y=-14.247 Z=156.505
X=-52.504 Y=-1.327 Z=156.369
X=-47.935 Y=11.902 Z=159.033
X=-43.635 Y=20.197 Z=160.063
X=-39.974 Y=24.094 Z=159.902
X=-35.598 Y=24.773 Z=158.227
X=-31.860 Y=23.994 Z=157.847
X=-28.783 Y=22.114 Z=157.014
X=-26.064 Y=19.004 Z=155.442
X=-24.825 Y=16.161 Z=153.785
X=-24.698 Y=14.793 Z=152.481
X=-24.268 Y=15.159 Z=152.074
X=-23.086 Y=15.284 Z=151.829
X=-20.270 Y=14.409 Z=151.797
X=-17.185 Y=12.883 Z=151.340
X=-14.930 Y=12.327 Z=151.578
X=-12.392 Y=13.767 Z=151.393
X=-9.674 Y=18.093 Z=151.135
X=-6.973 Y=23.875 Z=151.408
X=-4.840 Y=28.239 Z=151.247
X=-3.234 Y=31.804 Z=151.012
X=-1.593 Y=34.798 Z=150.946
X=-0.479 Y=37.202 Z=151.128
X=0.503 Y=39.204 Z=151.210
X=1.616 Y=40.926 Z=151.038
X=2.847 Y=42.523 Z=150.900
X=4.424 Y=43.856 Z=150.194
X=5.381 Y=44.366 Z=149.316
X=5.666 Y=44.809 Z=148.880
X=6.058 Y=45.084 Z=148.603
X=6.307 Y=45.361 Z=148.091
X=6.131 Y=45.789 Z=147.568
X=5.987 Y=46.550 Z=147.278
X=6.062 Y=47.083 Z=147.077
X=5.942 Y=47.482 Z=146.917
X=5.372 Y=47.802 Z=146.872
X=4.626 Y=47.893 Z=146.612
X=4.166 Y=47.990 Z=146.600
X=3.952 Y=48.135 Z=146.550
X=3.900 Y=48.229 Z=146.485
X=3.714 Y=48.459 Z=146.338
X=3.603 Y=48.749 Z=146.277
X=3.503 Y=48.955 Z=146.066
X=3.491 Y=49.243 Z=146.009
X=3.512 Y=49.291 Z=146.024
X=3.736 Y=48.730 Z=146.248
X=5.062 Y=46.885 Z=146.583
X=7.497 Y=44.710 Z=146.621
X=9.327 Y=42.882 Z=146.146
X=10.001 Y=41.224 Z=146.203
X=9.567 Y=39.194 Z=146.615
X=8.240 Y=35.808 Z=146.984
X=5.080 Y=29.088 Z=146.982
X=0.690 Y=23.344 Z=146.463
X=-2.916 Y=19.721 Z=146.057
X=-4.729 Y=19.224 Z=145.327
X=-4.554 Y=21.596 Z=145.036
X=-4.178 Y=23.173 Z=145.185
