X=170.260 Y=272.761 Z=180.773
X=170.401 Y=268.422 Z=181.229
X=161.691 Y=266.124 Z=182.150
X=148.130 Y=261.584 Z=182.925
X=137.582 Y=252.076 Z=182.245
X=135.651 Y=242.920 Z=183.539
X=140.342 Y=243.266 Z=183.127
X=144.736 Y=247.958 Z=183.211
X=150.048 Y=250.805 Z=181.717
X=152.902 Y=250.085 Z=175.578
X=157.230 Y=246.093 Z=174.421
X=162.264 Y=244.035 Z=175.243
X=166.406 Y=244.099 Z=177.103
X=168.579 Y=245.347 Z=178.485
X=169.054 Y=245.916 Z=178.892
X=169.120 Y=246.389 Z=179.088
X=168.582 Y=246.859 Z=179.073
X=168.579 Y=247.428 Z=179.208
X=168.605 Y=247.841 Z=179.453
X=168.525 Y=248.254 Z=179.584
X=168.266 Y=248.331 Z=179.459
X=167.044 Y=248.203 Z=179.149
X=164.487 Y=248.322 Z=179.154
X=150.419 Y=253.859 Z=181.214
X=142.976 Y=270.601 Z=181.367
X=141.760 Y=277.678 Z=180.414
X=143.240 Y=277.480 Z=180.422
X=142.964 Y=270.779 Z=180.444
X=142.700 Y=263.464 Z=181.118
X=144.315 Y=258.337 Z=182.013
X=148.776 Y=257.315 Z=181.885
X=157.741 Y=260.413 Z=180.019
X=165.438 Y=262.076 Z=180.726
X=169.672 Y=261.843 Z=181.262
X=168.875 Y=256.813 Z=181.549
X=169.978 Y=241.471 Z=182.384
X=176.272 Y=231.371 Z=182.411
X=178.185 Y=39.561 Z=182.050
X=177.249 Y=42.564 Z=182.873
X=173.958 Y=46.375 Z=183.296
X=171.301 Y=49.146 Z=182.927
X=165.866 Y=55.079 Z=183.218
X=164.419 Y=65.882 Z=183.723
X=166.547 Y=70.848 Z=182.695
X=168.821 Y=74.814 Z=183.220
X=168.966 Y=80.504 Z=183.803
X=168.613 Y=89.647 Z=183.833
X=167.599 Y=92.074 Z=187.863
X=167.050 Y=91.935 Z=189.941
X=165.463 Y=93.147 Z=186.350
X=161.365 Y=90.434 Z=179.672
X=155.810 Y=82.816 Z=178.897
X=150.406 Y=71.787 Z=178.606
X=149.064 Y=57.606 Z=178.520
X=154.317 Y=46.094 Z=179.620
X=157.730 Y=43.198 Z=179.446
X=157.200 Y=44.712 Z=179.769
X=151.215 Y=55.206 Z=179.798
