X=-48.402 Y=-29.913 Z=160.601
X=-47.759 Y=-9.563 Z=161.372
X=-47.232 Y=10.782 Z=165.932
X=-47.305 Y=21.027 Z=167.433
X=-48.209 Y=25.477 Z=167.598
X=-48.855 Y=27.391 Z=167.903
X=-49.270 Y=28.934 Z=168.258
X=-49.303 Y=29.754 Z=168.255
X=-48.562 Y=29.075 Z=169.945
X=-47.939 Y=28.016 Z=170.507
X=-47.186 Y=28.325 Z=167.586
X=-46.275 Y=28.989 Z=164.481
X=-46.080 Y=30.544 Z=162.994
X=-46.370 Y=31.340 Z=162.801
X=-46.555 Y=30.812 Z=162.746
X=-46.470 Y=29.544 Z=162.720
X=-47.411 Y=30.192 Z=163.404
X=-49.308 Y=29.758 Z=165.756
X=-48.964 Y=29.433 Z=166.297
X=-43.830 Y=27.985 Z=161.586
X=-38.084 Y=20.768 Z=156.909
X=-38.192 Y=25.067 Z=154.679
X=-37.779 Y=34.663 Z=155.293
X=-35.165 Y=42.553 Z=156.540
X=-33.450 Y=57.085 Z=157.588
X=-32.434 Y=69.178 Z=163.715
X=-33.123 Y=75.497 Z=166.087
X=-34.946 Y=75.435 Z=167.055
X=-35.891 Y=76.024 Z=167.012
X=-36.246 Y=74.317 Z=168.503
X=-36.732 Y=70.761 Z=168.434
X=-36.166 Y=65.046 Z=164.992
X=-35.909 Y=60.645 Z=161.287
X=-35.594 Y=59.220 Z=160.448
X=-35.414 Y=59.283 Z=160.459
X=-34.264 Y=60.630 Z=160.834
X=-32.317 Y=61.932 Z=159.971
X=-28.196 Y=59.575 Z=158.587
X=-21.320 Y=51.819 Z=155.869
X=-9.989 Y=36.204 Z=155.166
X=0.644 Y=21.446 Z=158.160
X=5.549 Y=15.550 Z=159.811
X=7.954 Y=14.363 Z=160.697
X=9.628 Y=14.008 Z=161.500
X=11.631 Y=14.130 Z=161.945
X=12.960 Y=14.122 Z=162.008
X=13.630 Y=14.210 Z=162.271
X=14.342 Y=13.921 Z=162.517
X=14.704 Y=13.531 Z=163.154
X=14.349 Y=13.048 Z=164.489
X=13.618 Y=12.511 Z=165.938
X=13.143 Y=12.109 Z=166.862
X=12.964 Y=12.042 Z=167.056
X=12.867 Y=12.616 Z=167.199
X=12.806 Y=13.215 Z=167.239
X=12.710 Y=13.922 Z=167.271
X=12.721 Y=11.401 Z=166.703
X=6.116 Y=-2.778 Z=166.046
X=0.161 Y=-5.734 Z=166.281
X=-2.453 Y=-6.449 Z=166.393
X=-2.960 Y=-6.354 Z=168.304
X=-0.064 Y=-5.335 Z=169.382
X=6.132 Y=-1.438 Z=167.818
X=10.506 Y=6.675 Z=165.193
X=11.285 Y=9.954 Z=164.847
