00:22.56 X=159.867 Y=511.101 Z=131.213 X=175.677 Y=135.623 Z=131.338
00:35.50 X=182.583 Y=154.235 Z=129.912 X=189.755 Y=550.937 Z=129.912
00:52.96 X=164.360 Y=545.752 Z=133.643 X=181.822 Y=314.430 Z=133.643
00:55.50 X=169.739 Y=353.004 Z=129.811 X=188.896 Y=516.360 Z=129.811
01:03.26 X=191.761 Y=482.440 Z=128.094 X=182.591 Y=336.911 Z=128.094
01:10.44 X=178.289 Y=334.792 Z=129.108 X=176.107 Y=145.568 Z=129.108
01:19.99 X=178.042 Y=150.626 Z=123.006 X=181.313 Y=297.615 Z=123.006
01:35.27 X=168.756 Y=303.132 Z=130.986 X=179.887 Y=-53.212 Z=130.986
01:57.73 X=170.437 Y=-34.539 Z=133.748 X=189.151 Y=524.677 Z=133.748
