X=144.075 Y=324.967 Z=164.889
X=146.667 Y=322.889 Z=166.070
X=148.197 Y=321.474 Z=167.358
X=148.866 Y=320.654 Z=168.112
X=149.232 Y=320.254 Z=168.475
X=149.510 Y=320.127 Z=168.633
X=149.541 Y=320.247 Z=168.684
X=149.474 Y=320.739 Z=167.757
X=149.420 Y=321.044 Z=167.392
X=149.333 Y=321.115 Z=167.363
X=149.320 Y=321.126 Z=167.732
X=149.413 Y=321.105 Z=168.222
X=149.634 Y=321.438 Z=169.308
X=149.676 Y=321.812 Z=170.157
X=149.574 Y=321.946 Z=170.448
X=149.612 Y=321.969 Z=170.448
X=149.805 Y=321.698 Z=170.142
X=149.903 Y=321.286 Z=169.635
X=149.740 Y=320.992 Z=168.686
X=149.828 Y=320.543 Z=167.623
X=149.686 Y=320.211 Z=167.540
X=149.593 Y=320.200 Z=167.498
X=149.509 Y=320.280 Z=167.418
X=148.776 Y=320.282 Z=167.115
X=146.755 Y=317.138 Z=166.681
X=143.133 Y=309.143 Z=165.712
X=139.307 Y=299.619 Z=166.137
X=135.662 Y=112.117 Z=167.027
X=133.365 Y=109.514 Z=166.746
X=130.033 Y=112.239 Z=165.948
X=126.854 Y=118.351 Z=164.153
X=125.663 Y=122.705 Z=162.755
X=124.997 Y=126.265 Z=161.900
X=126.399 Y=131.147 Z=161.716
X=127.766 Y=136.767 Z=161.547
X=128.737 Y=143.001 Z=161.736
X=129.560 Y=147.105 Z=160.936
X=130.219 Y=147.946 Z=160.916
X=131.156 Y=147.080 Z=160.975
X=131.237 Y=145.522 Z=161.037
X=131.501 Y=145.445 Z=164.139
X=133.782 Y=147.924 Z=167.189
X=135.795 Y=148.463 Z=168.281
X=136.266 Y=148.135 Z=168.445
X=135.916 Y=146.972 Z=168.017
X=132.289 Y=143.783 Z=165.072
X=129.930 Y=139.942 Z=163.055
X=128.719 Y=137.076 Z=162.023
X=128.608 Y=135.685 Z=161.740
X=129.083 Y=135.220 Z=161.802
X=129.897 Y=135.544 Z=162.171
X=130.715 Y=136.518 Z=163.122
X=131.269 Y=137.207 Z=164.229
X=131.866 Y=137.103 Z=164.440
X=132.218 Y=136.124 Z=164.563
X=131.692 Y=135.221 Z=163.855
X=131.048 Y=133.701 Z=162.316
X=130.684 Y=132.116 Z=161.459
X=130.271 Y=131.450 Z=160.192
X=129.833 Y=131.373 Z=159.479
X=129.707 Y=132.492 Z=158.748
X=130.102 Y=135.803 Z=158.408
X=129.740 Y=139.989 Z=158.579
X=128.816 Y=143.792 Z=158.839
X=128.296 Y=146.892 Z=159.845
X=128.206 Y=149.016 Z=160.845
X=128.236 Y=150.939 Z=161.165
X=128.279 Y=152.170 Z=161.222
X=128.617 Y=152.321 Z=160.119
X=128.319 Y=151.758 Z=158.162
X=126.957 Y=151.624 Z=157.413
X=125.984 Y=152.135 Z=155.332
X=126.026 Y=153.137 Z=153.385
X=125.839 Y=154.053 Z=151.828
X=124.956 Y=155.174 Z=151.050
X=125.180 Y=155.996 Z=150.672
X=126.674 Y=156.053 Z=153.494
X=128.174 Y=155.840 Z=156.099
X=128.935 Y=156.237 Z=157.698
X=128.381 Y=156.501 Z=159.043
X=127.364 Y=156.862 Z=159.951
X=126.492 Y=157.030 Z=160.668
X=126.173 Y=156.397 Z=161.124
X=128.946 Y=154.184 Z=162.905
X=132.661 Y=152.104 Z=165.871
X=135.251 Y=146.688 Z=167.288
X=135.376 Y=138.930 Z=168.722
X=137.804 Y=136.212 Z=169.561
X=145.041 Y=137.603 Z=169.869
X=152.709 Y=143.070 Z=167.464
X=159.338 Y=146.305 Z=168.241
X=165.188 Y=147.961 Z=168.436
X=168.628 Y=147.988 Z=169.054
X=170.649 Y=148.384 Z=168.505
X=172.895 Y=149.992 Z=168.258
X=175.439 Y=152.061 Z=168.635
X=176.808 Y=152.477 Z=169.388
X=176.157 Y=152.386 Z=169.661
X=173.743 Y=151.617 Z=169.551
X=171.865 Y=150.576 Z=168.321
X=171.561 Y=150.027 Z=167.914
X=171.476 Y=149.525 Z=167.922
X=171.633 Y=149.383 Z=168.170
X=171.767 Y=149.168 Z=168.361
X=170.772 Y=149.478 Z=168.245
X=167.380 Y=153.223 Z=167.437
X=161.786 Y=160.508 Z=165.857
X=154.350 Y=170.763 Z=166.044
X=148.134 Y=177.112 Z=166.682
X=143.423 Y=368.509 Z=166.531
X=138.740 Y=366.824 Z=166.365
X=134.444 Y=361.929 Z=165.496
X=132.920 Y=356.689 Z=164.628
X=132.757 Y=354.318 Z=163.530
X=132.220 Y=353.107 Z=162.738
X=132.415 Y=349.310 Z=161.545
X=131.908 Y=342.095 Z=160.671
X=129.864 Y=333.459 Z=160.468
X=128.019 Y=327.446 Z=160.633
X=127.279 Y=325.756 Z=160.331
X=126.984 Y=325.503 Z=160.076
X=127.187 Y=324.624 Z=160.214
X=127.351 Y=324.487 Z=160.518
X=127.059 Y=327.955 Z=161.358
X=126.927 Y=330.807 Z=162.628
X=124.456 Y=332.217 Z=163.733
X=118.490 Y=337.997 Z=161.099
X=113.531 Y=339.646 Z=162.787
X=102.648 Y=343.577 Z=164.978
X=93.372 Y=348.590 Z=167.490
X=84.236 Y=351.193 Z=168.084
X=72.678 Y=350.763 Z=165.540
X=55.670 Y=346.924 Z=160.770
X=30.068 Y=341.093 Z=158.213
X=12.809 Y=338.264 Z=156.230
X=5.744 Y=336.981 Z=155.360
X=4.130 Y=337.038 Z=155.789
X=5.238 Y=339.180 Z=156.644
X=8.609 Y=344.764 Z=156.470
X=15.784 Y=354.280 Z=157.506
