X=144.196 Y=332.776 Z=160.998
X=143.545 Y=331.529 Z=159.544
X=142.831 Y=330.459 Z=159.238
X=142.100 Y=328.659 Z=158.759
X=141.889 Y=327.063 Z=158.515
X=141.404 Y=326.820 Z=158.463
X=141.009 Y=327.870 Z=158.782
X=140.858 Y=329.503 Z=159.044
X=140.961 Y=330.104 Z=159.120
X=141.720 Y=328.538 Z=159.052
X=143.427 Y=326.615 Z=159.252
X=145.964 Y=325.080 Z=159.401
X=148.395 Y=324.097 Z=159.552
X=150.278 Y=323.855 Z=159.449
X=150.998 Y=324.019 Z=159.346
X=150.889 Y=324.431 Z=159.423
X=150.237 Y=324.948 Z=159.711
X=149.725 Y=325.168 Z=159.800
X=149.126 Y=325.250 Z=159.814
X=148.571 Y=325.192 Z=159.847
X=148.344 Y=325.061 Z=159.862
X=148.263 Y=324.728 Z=159.942
X=148.124 Y=324.400 Z=159.927
X=148.077 Y=324.190 Z=160.016
X=148.002 Y=323.878 Z=159.999
X=147.874 Y=323.559 Z=160.052
X=147.486 Y=323.211 Z=160.178
X=147.216 Y=322.912 Z=160.204
X=147.039 Y=322.750 Z=160.334
X=145.972 Y=321.522 Z=160.382
X=143.867 Y=316.304 Z=159.726
X=141.814 Y=307.393 Z=158.968
X=139.712 Y=296.632 Z=160.128
X=138.229 Y=289.991 Z=160.888
X=137.328 Y=287.666 Z=160.699
X=136.697 Y=287.071 Z=160.640
X=136.365 Y=286.788 Z=160.559
X=136.183 Y=286.303 Z=160.606
X=135.998 Y=286.239 Z=160.540
X=138.430 Y=289.878 Z=159.823
X=144.280 Y=298.384 Z=158.248
X=149.967 Y=311.679 Z=156.839
X=154.992 Y=321.976 Z=157.622
X=159.114 Y=327.593 Z=158.356
X=163.258 Y=329.571 Z=159.385
X=166.700 Y=329.978 Z=159.830
X=168.587 Y=329.950 Z=160.078
X=169.651 Y=329.674 Z=160.156
X=170.262 Y=329.151 Z=160.159
X=170.532 Y=328.546 Z=160.160
X=170.677 Y=327.624 Z=160.247
X=170.900 Y=326.692 Z=160.326
X=170.783 Y=326.127 Z=160.443
X=170.569 Y=325.887 Z=160.433
X=170.288 Y=325.638 Z=160.382
X=169.016 Y=324.593 Z=159.848
X=165.670 Y=320.626 Z=159.428
X=161.521 Y=312.390 Z=157.998
X=158.176 Y=303.774 Z=159.797
X=155.944 Y=296.848 Z=160.885
X=153.877 Y=112.384 Z=160.541
X=151.868 Y=109.485 Z=160.782
X=149.850 Y=109.464 Z=160.692
X=147.466 Y=110.716 Z=160.643
X=145.535 Y=113.782 Z=160.841
X=144.933 Y=116.008 Z=161.108
X=145.028 Y=116.931 Z=162.096
X=145.043 Y=117.745 Z=163.081
X=144.594 Y=119.419 Z=161.861
X=143.683 Y=122.237 Z=160.371
X=142.894 Y=126.644 Z=159.757
X=141.719 Y=132.712 Z=159.676
X=139.773 Y=139.033 Z=159.328
X=138.779 Y=141.842 Z=159.068
X=138.574 Y=142.033 Z=158.986
X=139.093 Y=140.518 Z=159.443
X=140.278 Y=137.830 Z=160.341
X=141.983 Y=135.675 Z=161.128
X=144.183 Y=134.616 Z=161.226
X=146.035 Y=134.297 Z=160.535
X=146.827 Y=133.956 Z=160.342
X=146.781 Y=133.731 Z=159.819
X=146.882 Y=133.526 Z=160.050
X=147.075 Y=133.473 Z=160.165
X=147.277 Y=133.482 Z=160.182
X=147.389 Y=133.896 Z=160.275
X=147.062 Y=136.812 Z=160.394
X=145.523 Y=142.832 Z=159.815
X=142.389 Y=153.716 Z=158.355
X=138.540 Y=167.148 Z=159.294
X=135.079 Y=176.291 Z=160.724
X=133.007 Y=180.774 Z=160.577
X=131.763 Y=182.832 Z=160.452
X=131.545 Y=183.379 Z=160.441
X=131.778 Y=182.269 Z=160.750
X=134.795 Y=176.841 Z=161.135
X=140.417 Y=166.832 Z=159.533
X=146.131 Y=155.944 Z=158.010
X=150.871 Y=149.335 Z=159.938
X=154.234 Y=146.135 Z=160.617
X=157.614 Y=146.073 Z=160.444
X=161.779 Y=148.563 Z=160.163
X=166.629 Y=151.569 Z=159.939
X=171.338 Y=153.053 Z=160.096
X=174.520 Y=153.089 Z=160.150
X=175.499 Y=152.179 Z=160.321
X=176.019 Y=150.980 Z=160.387
X=175.994 Y=149.886 Z=160.359
X=175.487 Y=149.088 Z=160.282
X=175.351 Y=148.995 Z=160.234
X=175.570 Y=149.207 Z=160.294
X=175.897 Y=149.825 Z=160.440
X=175.846 Y=150.296 Z=160.384
X=175.058 Y=150.599 Z=160.246
X=173.025 Y=151.480 Z=159.962
X=168.664 Y=155.412 Z=159.451
X=161.966 Y=161.813 Z=158.541
X=153.543 Y=172.165 Z=158.462
X=145.647 Y=371.013 Z=160.509
X=141.188 Y=377.224 Z=160.495
X=138.904 Y=379.668 Z=160.312
X=135.911 Y=379.367 Z=159.786
X=132.435 Y=375.861 Z=158.849
X=130.692 Y=371.996 Z=158.020
X=129.540 Y=369.530 Z=157.533
X=128.686 Y=368.387 Z=157.223
X=128.108 Y=367.750 Z=157.011
X=127.667 Y=367.084 Z=156.860
X=127.455 Y=365.959 Z=156.754
X=127.370 Y=365.216 Z=156.649
X=127.476 Y=364.884 Z=156.652
X=127.847 Y=364.701 Z=157.030
X=128.277 Y=364.407 Z=157.743
X=129.158 Y=363.244 Z=158.357
X=129.087 Y=362.162 Z=158.668
X=129.014 Y=361.146 Z=158.655
X=129.082 Y=360.649 Z=158.561
X=129.073 Y=360.758 Z=158.515
X=128.830 Y=360.894 Z=158.486
X=128.454 Y=360.092 Z=158.338
X=128.277 Y=356.851 Z=158.396
X=126.307 Y=351.729 Z=158.509
X=124.917 Y=348.401 Z=158.030
X=125.293 Y=346.810 Z=158.060
X=127.290 Y=345.972 Z=158.525
