X=146.805 Y=336.466 Z=163.861
X=148.904 Y=336.723 Z=165.005
X=149.591 Y=336.695 Z=166.258
X=149.647 Y=336.326 Z=166.589
X=147.475 Y=336.961 Z=162.716
X=145.374 Y=338.070 Z=157.918
X=143.445 Y=338.720 Z=155.938
X=142.067 Y=339.610 Z=154.512
X=140.545 Y=340.539 Z=152.741
X=139.792 Y=341.430 Z=152.044
X=140.390 Y=341.396 Z=154.089
X=141.682 Y=340.003 Z=156.562
X=142.753 Y=338.086 Z=159.874
X=143.526 Y=335.977 Z=163.598
X=144.272 Y=334.303 Z=165.920
X=144.400 Y=333.513 Z=170.516
X=145.483 Y=334.421 Z=172.627
X=146.460 Y=335.764 Z=174.283
X=147.252 Y=337.273 Z=174.961
X=148.457 Y=338.409 Z=175.887
X=148.892 Y=338.447 Z=176.072
X=148.580 Y=337.401 Z=175.451
X=147.423 Y=334.971 Z=172.543
X=146.959 Y=333.350 Z=169.341
X=147.046 Y=332.225 Z=167.831
X=147.357 Y=331.297 Z=167.257
X=149.785 Y=327.714 Z=167.479
X=152.477 Y=325.253 Z=168.003
X=154.596 Y=325.243 Z=167.975
X=155.537 Y=328.874 Z=168.222
X=155.209 Y=333.670 Z=168.466
X=154.522 Y=338.100 Z=168.634
X=154.910 Y=340.703 Z=168.830
X=156.036 Y=341.005 Z=169.301
X=156.481 Y=339.213 Z=169.386
X=155.956 Y=334.272 Z=168.987
X=154.141 Y=324.449 Z=167.278
X=152.067 Y=309.666 Z=165.628
X=149.859 Y=106.738 Z=168.499
X=146.687 Y=98.544 Z=168.943
X=143.282 Y=97.105 Z=167.967
X=139.385 Y=97.851 Z=166.946
X=135.715 Y=101.335 Z=165.737
X=134.835 Y=105.317 Z=164.473
X=134.800 Y=107.781 Z=163.376
X=135.035 Y=112.615 Z=162.077
X=135.400 Y=119.232 Z=161.474
X=134.171 Y=127.505 Z=161.441
X=131.839 Y=133.908 Z=160.417
X=129.834 Y=135.960 Z=159.986
X=129.734 Y=135.959 Z=159.603
X=129.728 Y=133.897 Z=160.064
X=129.705 Y=131.392 Z=160.410
X=129.472 Y=130.678 Z=161.332
X=129.348 Y=130.645 Z=161.670
X=129.832 Y=133.021 Z=161.963
X=130.043 Y=137.587 Z=162.653
X=128.769 Y=142.371 Z=162.873
X=127.095 Y=147.241 Z=162.230
X=125.811 Y=150.598 Z=161.041
X=126.142 Y=151.493 Z=160.770
X=127.539 Y=150.465 Z=161.740
X=129.327 Y=148.347 Z=163.478
X=132.168 Y=147.883 Z=165.293
X=135.774 Y=148.030 Z=167.239
X=137.839 Y=336.489 Z=168.105
X=138.494 Y=335.336 Z=168.280
X=138.367 Y=334.070 Z=168.096
X=135.981 Y=330.740 Z=167.060
X=134.201 Y=326.491 Z=166.040
X=133.688 Y=324.568 Z=164.009
X=133.042 Y=323.676 Z=162.725
X=131.822 Y=323.292 Z=161.842
X=130.351 Y=323.847 Z=161.352
X=128.937 Y=324.147 Z=160.962
X=128.696 Y=324.154 Z=160.872
X=128.660 Y=323.590 Z=161.154
X=128.839 Y=321.328 Z=162.136
X=130.350 Y=318.134 Z=163.937
X=133.579 Y=314.872 Z=166.174
X=136.453 Y=313.202 Z=167.566
X=137.573 Y=313.103 Z=167.910
X=137.773 Y=313.092 Z=167.973
X=137.368 Y=313.628 Z=167.967
X=134.814 Y=315.374 Z=167.154
X=132.276 Y=317.944 Z=166.084
X=130.577 Y=320.614 Z=165.517
X=129.872 Y=323.084 Z=164.550
X=130.172 Y=323.899 Z=163.015
X=131.163 Y=323.581 Z=162.231
X=131.764 Y=322.352 Z=161.972
X=132.446 Y=321.041 Z=161.974
X=132.999 Y=320.881 Z=162.164
X=134.183 Y=328.230 Z=164.702
X=137.763 Y=331.483 Z=166.221
X=140.059 Y=332.480 Z=166.773
X=140.607 Y=332.481 Z=166.977
X=140.580 Y=332.502 Z=167.035
X=139.808 Y=333.510 Z=167.217
X=138.468 Y=337.292 Z=166.961
X=136.413 Y=345.039 Z=166.300
X=134.151 Y=356.484 Z=165.381
X=131.911 Y=369.179 Z=167.130
X=130.126 Y=376.548 Z=167.131
X=129.806 Y=564.169 Z=166.435
X=128.347 Y=564.200 Z=166.063
X=125.609 Y=560.306 Z=165.205
X=124.387 Y=555.046 Z=164.067
X=124.228 Y=551.469 Z=163.001
X=124.073 Y=549.668 Z=161.772
X=125.598 Y=546.838 Z=160.844
X=128.437 Y=540.365 Z=160.889
X=129.574 Y=532.381 Z=160.656
X=130.474 Y=525.774 Z=160.234
X=131.194 Y=522.310 Z=160.734
X=132.452 Y=521.928 Z=160.978
X=132.809 Y=522.605 Z=160.901
X=132.756 Y=521.551 Z=161.018
X=132.381 Y=520.531 Z=161.352
X=132.225 Y=520.894 Z=161.606
X=131.959 Y=522.437 Z=161.638
X=131.075 Y=526.241 Z=161.151
X=130.273 Y=528.795 Z=160.646
X=130.763 Y=528.020 Z=160.495
X=132.767 Y=521.136 Z=160.807
X=134.149 Y=513.281 Z=161.809
X=133.982 Y=508.952 Z=161.722
X=133.330 Y=508.346 Z=161.590
X=132.229 Y=509.766 Z=161.501
X=131.057 Y=511.128 Z=161.255
X=130.019 Y=512.296 Z=161.078
X=129.560 Y=512.471 Z=160.971
X=129.740 Y=511.609 Z=161.061
X=130.391 Y=509.695 Z=161.626
X=131.897 Y=507.565 Z=162.479
X=132.831 Y=506.296 Z=162.863
X=133.393 Y=505.589 Z=162.988
X=133.503 Y=505.416 Z=163.021
X=133.460 Y=504.999 Z=163.034
X=133.616 Y=504.636 Z=162.796
X=133.679 Y=504.398 Z=162.561
