X=107.368 Y=-4.977 Z=150.917
X=94.365 Y=-7.417 Z=152.861
X=77.280 Y=-13.574 Z=155.780
X=64.186 Y=-18.265 Z=159.596
X=53.218 Y=-20.861 Z=161.693
X=42.583 Y=-20.175 Z=163.162
X=32.662 Y=-13.924 Z=163.192
X=25.441 Y=-8.380 Z=164.388
X=19.135 Y=-5.893 Z=164.971
X=12.687 Y=-7.003 Z=165.264
X=6.499 Y=-11.900 Z=165.188
X=1.860 Y=-18.464 Z=164.976
X=-1.836 Y=-22.926 Z=164.234
X=-5.685 Y=-22.981 Z=164.007
X=-7.444 Y=-19.858 Z=162.714
X=-7.708 Y=-16.499 Z=160.692
X=-7.127 Y=-13.730 Z=157.799
X=-6.914 Y=-11.998 Z=156.028
X=-7.179 Y=-7.049 Z=155.306
X=-9.877 Y=-1.441 Z=155.782
X=-12.646 Y=1.416 Z=156.565
X=-13.978 Y=1.431 Z=157.043
X=-13.984 Y=-0.594 Z=158.471
X=-13.067 Y=-2.628 Z=158.494
X=-11.888 Y=-4.005 Z=158.275
X=-10.386 Y=-4.444 Z=158.280
X=-9.980 Y=-4.399 Z=158.679
X=-10.823 Y=-4.134 Z=158.729
X=-10.914 Y=-3.190 Z=158.303
X=-8.983 Y=2.585 Z=157.501
X=-6.756 Y=14.186 Z=155.909
X=-5.220 Y=27.676 Z=156.710
X=-3.624 Y=37.657 Z=157.815
X=-1.604 Y=40.667 Z=157.044
X=1.235 Y=39.849 Z=156.842
X=4.774 Y=36.889 Z=155.841
X=6.587 Y=33.679 Z=154.970
X=7.283 Y=30.713 Z=154.122
X=6.255 Y=25.749 Z=153.467
X=5.351 Y=20.071 Z=152.267
X=4.811 Y=12.306 Z=151.589
X=5.560 Y=2.782 Z=150.823
X=6.523 Y=-3.849 Z=149.657
X=5.985 Y=-5.372 Z=150.819
X=3.432 Y=-5.593 Z=156.936
X=0.299 Y=-5.498 Z=159.022
X=-0.621 Y=-5.797 Z=159.331
X=-0.820 Y=-5.703 Z=158.279
X=0.515 Y=-4.351 Z=156.303
X=2.275 Y=-1.661 Z=155.251
X=3.748 Y=2.126 Z=152.433
X=4.263 Y=6.695 Z=150.831
X=3.906 Y=9.333 Z=150.722
X=3.408 Y=10.852 Z=151.044
X=2.850 Y=11.728 Z=152.084
X=2.115 Y=11.993 Z=153.723
X=1.302 Y=11.739 Z=154.928
X=-0.260 Y=10.647 Z=156.279
X=-1.911 Y=9.279 Z=156.857
X=-2.893 Y=9.145 Z=158.448
X=-2.767 Y=8.949 Z=157.723
X=-4.853 Y=4.271 Z=157.686
X=-6.156 Y=0.396 Z=157.475
X=-5.072 Y=-0.891 Z=156.819
X=-2.156 Y=0.049 Z=155.966
X=-0.016 Y=1.766 Z=155.044
X=0.620 Y=4.135 Z=152.843
X=0.475 Y=5.288 Z=151.859
X=0.600 Y=5.946 Z=151.496
X=0.497 Y=5.699 Z=151.511
X=0.684 Y=5.639 Z=151.716
X=0.902 Y=5.050 Z=152.028
X=0.445 Y=5.250 Z=153.517
X=-0.035 Y=5.197 Z=156.214
X=-0.753 Y=4.860 Z=158.063
X=-0.000 Y=3.656 Z=154.245
X=1.207 Y=2.192 Z=152.338
X=2.049 Y=0.450 Z=150.711
X=2.678 Y=-0.137 Z=150.438
X=3.106 Y=-0.282 Z=151.140
X=3.828 Y=-1.626 Z=152.129
X=4.766 Y=-3.685 Z=153.125
X=2.033 Y=-6.815 Z=155.714
X=-2.136 Y=-3.763 Z=157.792
X=-4.621 Y=0.518 Z=158.458
X=-5.524 Y=2.812 Z=158.833
X=-5.169 Y=1.603 Z=158.779
X=-3.712 Y=-5.570 Z=157.398
X=-1.043 Y=-18.090 Z=155.682
X=2.116 Y=-32.578 Z=156.102
X=4.890 Y=-40.395 Z=156.804
X=6.633 Y=-43.121 Z=156.489
X=9.597 Y=-40.402 Z=155.854
X=11.779 Y=-34.840 Z=154.637
X=12.703 Y=-29.039 Z=152.130
X=11.735 Y=-25.587 Z=151.243
X=10.011 Y=-25.223 Z=150.810
X=8.014 Y=-23.875 Z=150.225
X=5.777 Y=-18.461 Z=149.991
X=5.103 Y=-9.036 Z=149.429
X=6.099 Y=0.901 Z=149.844
X=7.958 Y=6.435 Z=150.535
X=9.425 Y=7.818 Z=150.183
X=10.561 Y=7.702 Z=149.997
X=10.733 Y=7.043 Z=150.005
X=10.192 Y=7.419 Z=150.156
X=8.680 Y=8.707 Z=150.598
X=7.161 Y=10.605 Z=151.089
X=6.227 Y=13.052 Z=151.778
X=5.604 Y=14.520 Z=152.155
X=5.824 Y=14.992 Z=152.171
X=6.610 Y=14.827 Z=151.756
X=7.964 Y=14.303 Z=151.368
X=9.742 Y=14.687 Z=150.584
X=9.535 Y=14.834 Z=150.428
X=8.030 Y=14.817 Z=150.827
X=6.908 Y=14.823 Z=150.782
X=6.140 Y=14.959 Z=150.420
X=6.247 Y=14.974 Z=150.382
X=6.790 Y=13.264 Z=150.637
X=8.540 Y=8.695 Z=151.458
X=6.184 Y=2.053 Z=154.623
X=3.258 Y=-2.102 Z=156.664
X=2.043 Y=-3.779 Z=157.252
X=1.677 Y=-2.665 Z=157.862
X=2.251 Y=-5.387 Z=158.247
X=3.923 Y=-15.065 Z=155.988
X=5.914 Y=-31.070 Z=154.480
X=8.677 Y=-44.922 Z=155.770
X=11.420 Y=-49.247 Z=155.463
X=12.448 Y=-46.975 Z=155.239
X=11.800 Y=-46.126 Z=155.872
X=9.714 Y=-47.842 Z=156.506
X=7.198 Y=-47.709 Z=156.973
X=4.854 Y=-40.111 Z=157.113
X=3.416 Y=-31.046 Z=156.941
X=0.907 Y=-25.492 Z=158.443
X=1.221 Y=-21.607 Z=157.631
X=3.917 Y=-16.806 Z=155.419
X=4.787 Y=-13.284 Z=153.239
X=4.283 Y=-12.826 Z=152.139
X=3.979 Y=-12.886 Z=150.724
X=4.521 Y=-11.523 Z=150.400
X=7.192 Y=-7.499 Z=149.944
X=11.169 Y=-1.851 Z=150.098
X=14.001 Y=1.288 Z=150.395
X=13.897 Y=1.733 Z=150.380
X=11.156 Y=-0.663 Z=151.145
X=8.543 Y=-4.802 Z=151.765
X=6.226 Y=-6.595 Z=151.795
X=5.341 Y=-5.955 Z=151.385
X=5.561 Y=-1.778 Z=150.900
X=6.133 Y=4.630 Z=150.505
X=6.551 Y=11.592 Z=150.229
X=6.665 Y=14.809 Z=150.740
X=6.618 Y=15.690 Z=151.337
X=6.543 Y=16.695 Z=151.978
X=6.473 Y=17.489 Z=152.240
X=6.337 Y=17.931 Z=152.265
X=5.808 Y=18.768 Z=152.353
X=5.375 Y=19.597 Z=152.388
X=4.853 Y=20.201 Z=152.302
X=4.519 Y=20.726 Z=151.997
X=4.316 Y=21.302 Z=151.872
X=4.309 Y=21.817 Z=151.806
X=4.273 Y=22.225 Z=151.659
X=4.209 Y=22.589 Z=151.465
X=4.183 Y=22.713 Z=151.398
X=4.181 Y=22.741 Z=151.411
X=4.161 Y=22.647 Z=151.362
X=4.208 Y=22.283 Z=151.392
X=4.184 Y=21.515 Z=151.496
X=4.005 Y=20.875 Z=151.810
X=4.051 Y=20.028 Z=152.003
X=5.083 Y=18.919 Z=152.391
