X=-12.208 Y=14.351 Z=155.299
X=-11.724 Y=14.333 Z=156.063
X=-10.985 Y=13.838 Z=156.041
X=-10.149 Y=12.876 Z=155.849
X=-8.913 Y=11.278 Z=155.056
X=-8.206 Y=9.585 Z=154.915
X=-8.152 Y=8.785 Z=154.851
X=-7.109 Y=6.501 Z=154.577
X=-6.304 Y=1.873 Z=154.062
X=-6.557 Y=0.436 Z=153.528
X=-6.962 Y=2.969 Z=153.634
X=-8.850 Y=11.479 Z=155.551
X=-13.214 Y=16.071 Z=156.789
X=-16.982 Y=17.236 Z=157.915
X=-18.812 Y=14.695 Z=158.806
X=-18.015 Y=10.698 Z=159.303
X=-15.524 Y=7.669 Z=158.930
X=-13.007 Y=6.030 Z=158.209
X=-11.639 Y=6.057 Z=157.521
X=-9.634 Y=7.587 Z=156.773
X=-7.309 Y=12.604 Z=155.953
X=-5.674 Y=21.756 Z=154.835
X=-4.385 Y=34.165 Z=155.867
X=-2.615 Y=43.489 Z=156.507
X=-0.404 Y=48.464 Z=156.464
X=1.451 Y=50.138 Z=156.342
X=4.540 Y=49.986 Z=155.312
X=5.646 Y=49.662 Z=154.874
X=6.226 Y=49.022 Z=154.716
X=8.917 Y=43.876 Z=153.758
X=9.255 Y=39.243 Z=152.602
X=8.604 Y=36.231 Z=152.056
X=6.023 Y=31.569 Z=152.562
X=3.460 Y=26.685 Z=153.252
X=1.919 Y=20.525 Z=153.581
X=0.888 Y=12.767 Z=153.301
X=-0.415 Y=5.637 Z=152.186
X=-2.132 Y=2.196 Z=151.331
X=-4.182 Y=0.438 Z=151.059
X=-5.256 Y=0.766 Z=151.323
X=-5.799 Y=2.960 Z=151.841
X=-6.439 Y=5.060 Z=153.927
X=-7.886 Y=6.379 Z=158.184
X=-9.444 Y=7.424 Z=159.874
X=-9.123 Y=8.535 Z=159.790
X=-7.696 Y=8.377 Z=159.700
X=-4.708 Y=7.140 Z=158.600
X=-1.254 Y=4.556 Z=155.989
X=-0.158 Y=2.415 Z=155.041
X=-0.506 Y=0.822 Z=154.675
X=-0.714 Y=1.757 Z=154.294
X=-0.936 Y=3.560 Z=152.412
X=-0.849 Y=5.014 Z=151.482
X=-1.191 Y=6.212 Z=151.415
X=-1.903 Y=7.041 Z=152.253
X=-3.178 Y=7.773 Z=152.904
X=-4.717 Y=8.977 Z=153.202
X=-5.337 Y=10.297 Z=152.544
X=-5.218 Y=10.280 Z=152.003
X=-4.644 Y=8.330 Z=151.622
X=-4.211 Y=6.236 Z=151.049
X=-3.894 Y=4.790 Z=150.598
X=-3.857 Y=4.165 Z=150.131
X=-4.478 Y=2.777 Z=149.050
X=-5.188 Y=0.256 Z=149.155
X=-6.285 Y=-2.816 Z=148.959
X=-7.107 Y=-3.833 Z=150.324
X=-8.034 Y=-3.440 Z=154.239
