X=52.929 Y=-4.015 Z=160.782
X=44.727 Y=-6.661 Z=161.589
X=36.641 Y=-12.678 Z=161.834
X=28.858 Y=-19.775 Z=162.141
X=21.895 Y=-23.675 Z=162.822
X=15.337 Y=-24.712 Z=162.882
X=10.698 Y=-21.661 Z=159.753
X=7.799 Y=-14.729 Z=155.470
X=4.544 Y=-8.443 Z=153.247
X=2.067 Y=-5.559 Z=151.912
X=-1.191 Y=-5.441 Z=150.892
X=-3.640 Y=-7.598 Z=151.696
X=-7.280 Y=-7.761 Z=153.850
X=-12.514 Y=-7.608 Z=155.802
X=-17.428 Y=-6.665 Z=157.176
X=-21.378 Y=-4.129 Z=157.687
X=-24.348 Y=-2.018 Z=157.668
X=-26.360 Y=-0.703 Z=157.213
X=-27.788 Y=-0.741 Z=157.258
X=-28.853 Y=-0.967 Z=157.665
X=-28.759 Y=-0.973 Z=158.931
X=-27.240 Y=-2.017 Z=159.752
X=-24.649 Y=-3.250 Z=159.360
X=-20.854 Y=-7.042 Z=160.276
X=-18.576 Y=-13.189 Z=160.638
X=-18.951 Y=-18.012 Z=161.813
X=-19.234 Y=-19.452 Z=162.226
X=-20.166 Y=-19.439 Z=163.478
X=-20.362 Y=-17.776 Z=163.787
X=-19.281 Y=-13.356 Z=162.147
X=-19.848 Y=-7.394 Z=159.301
X=-24.651 Y=-1.366 Z=157.171
X=-29.378 Y=1.435 Z=155.174
X=-31.291 Y=2.442 Z=154.467
X=-31.353 Y=1.531 Z=154.157
X=-30.196 Y=0.559 Z=154.709
X=-30.151 Y=0.554 Z=155.304
X=-29.567 Y=-0.158 Z=155.292
X=-29.171 Y=-1.077 Z=155.862
X=-31.015 Y=-2.300 Z=159.896
X=-34.019 Y=-3.294 Z=159.964
X=-35.273 Y=-2.986 Z=156.360
X=-35.615 Y=-2.165 Z=154.875
X=-35.910 Y=-1.491 Z=152.915
X=-38.970 Y=-1.465 Z=151.545
X=-39.566 Y=-1.718 Z=151.528
X=-38.593 Y=-1.717 Z=151.722
X=-32.603 Y=-0.468 Z=152.078
X=-28.351 Y=-0.636 Z=153.561
X=-26.204 Y=-1.470 Z=155.604
X=-25.389 Y=-2.376 Z=157.392
X=-25.146 Y=-3.066 Z=157.883
X=-24.106 Y=-3.527 Z=158.231
X=-22.405 Y=-4.420 Z=158.528
X=-17.042 Y=-8.317 Z=160.151
X=-16.213 Y=-9.394 Z=159.816
X=-15.451 Y=-9.489 Z=156.769
X=-13.893 Y=-13.021 Z=155.871
X=-14.952 Y=-14.166 Z=155.788
X=-19.844 Y=-5.379 Z=156.064
X=-24.298 Y=-2.657 Z=154.663
X=-26.860 Y=-1.111 Z=153.250
X=-30.446 Y=-0.229 Z=152.276
X=-27.311 Y=0.186 Z=154.902
X=-27.276 Y=-0.927 Z=155.439
X=-28.603 Y=-1.387 Z=153.738
X=-29.051 Y=-1.585 Z=153.847
X=-27.456 Y=-2.527 Z=154.720
X=-23.219 Y=-4.583 Z=157.043
X=-19.384 Y=-12.432 Z=161.942
X=-20.780 Y=-16.049 Z=163.901
X=-22.453 Y=-17.544 Z=164.898
X=-24.854 Y=-20.568 Z=166.228
X=-27.044 Y=-20.868 Z=167.525
X=-26.478 Y=-20.484 Z=167.325
X=-22.604 Y=-17.884 Z=165.039
X=-20.140 Y=-12.368 Z=160.986
X=-24.030 Y=-4.007 Z=158.267
X=-26.917 Y=-1.784 Z=154.660
X=-30.753 Y=0.697 Z=151.946
X=-37.342 Y=1.179 Z=150.804
X=-42.236 Y=-6.735 Z=151.285
X=-40.653 Y=-14.710 Z=151.429
X=-39.212 Y=-18.416 Z=151.615
X=-37.112 Y=-19.413 Z=149.935
X=-36.146 Y=-17.474 Z=150.463
X=-37.824 Y=-16.719 Z=152.997
X=-39.931 Y=-16.158 Z=156.208
X=-38.555 Y=-14.929 Z=158.130
X=-33.396 Y=-13.265 Z=158.469
X=-27.396 Y=-9.938 Z=158.103
X=-21.286 Y=-5.244 Z=158.763
X=-18.399 Y=0.435 Z=158.775
X=-18.009 Y=5.720 Z=158.650
X=-20.580 Y=10.047 Z=159.401
X=-22.706 Y=12.701 Z=158.742
X=-23.742 Y=12.220 Z=157.982
X=-23.994 Y=5.562 Z=158.150
X=-22.287 Y=-1.289 Z=158.537
X=-20.569 Y=-6.042 Z=158.159
X=-18.593 Y=-9.303 Z=157.287
X=-17.521 Y=-11.102 Z=157.072
X=-16.629 Y=-12.338 Z=156.747
X=-17.256 Y=-13.320 Z=156.495
X=-19.031 Y=-13.214 Z=156.594
X=-20.563 Y=-12.371 Z=158.111
X=-22.403 Y=-11.256 Z=161.726
X=-22.623 Y=-10.315 Z=163.393
X=-21.552 Y=-10.574 Z=164.616
X=-18.034 Y=-12.065 Z=164.431
X=-13.974 Y=-13.483 Z=163.935
