X=105.297 Y=329.261 Z=172.670
X=112.386 Y=342.333 Z=173.856
X=117.843 Y=345.960 Z=173.747
X=121.864 Y=349.215 Z=173.238
X=124.834 Y=350.401 Z=171.578
X=127.654 Y=350.655 Z=168.684
X=130.170 Y=349.092 Z=166.275
X=131.716 Y=345.796 Z=165.423
X=133.070 Y=342.787 Z=164.364
X=134.501 Y=340.019 Z=162.856
X=135.302 Y=336.876 Z=160.408
X=135.636 Y=332.725 Z=159.913
X=136.883 Y=328.321 Z=161.383
X=140.731 Y=327.393 Z=164.701
X=143.219 Y=330.271 Z=166.347
X=143.744 Y=333.158 Z=166.876
X=144.807 Y=335.264 Z=167.112
X=146.593 Y=336.389 Z=167.648
X=146.772 Y=336.472 Z=167.962
X=146.859 Y=336.800 Z=168.287
X=147.067 Y=337.289 Z=168.341
X=147.459 Y=337.349 Z=168.170
X=146.976 Y=335.113 Z=167.805
X=145.229 Y=328.229 Z=167.134
X=142.204 Y=127.089 Z=165.771
X=139.246 Y=-68.804 Z=166.886
X=136.149 Y=-77.373 Z=168.066
X=132.426 Y=-79.044 Z=167.584
X=128.292 Y=-76.989 Z=167.920
X=124.192 Y=-71.220 Z=167.105
X=123.199 Y=-63.521 Z=166.747
X=125.071 Y=-56.194 Z=167.063
X=128.732 Y=-50.610 Z=167.224
X=132.650 Y=130.053 Z=167.457
X=135.533 Y=126.625 Z=168.006
X=136.765 Y=122.663 Z=168.072
X=135.834 Y=119.757 Z=167.610
X=133.757 Y=117.147 Z=167.210
X=133.682 Y=116.484 Z=166.970
X=134.683 Y=116.364 Z=167.195
X=137.381 Y=118.331 Z=168.248
X=139.735 Y=119.197 Z=169.191
X=140.785 Y=119.128 Z=169.632
X=141.421 Y=118.973 Z=169.893
X=140.502 Y=121.609 Z=170.725
X=136.267 Y=321.889 Z=167.846
X=136.009 Y=328.176 Z=165.597
X=136.224 Y=512.267 Z=166.402
X=135.366 Y=506.163 Z=167.546
X=134.145 Y=497.790 Z=167.547
X=133.050 Y=488.013 Z=167.443
X=134.038 Y=479.342 Z=167.188
X=136.605 Y=476.972 Z=167.894
X=138.869 Y=292.447 Z=168.105
X=140.408 Y=293.987 Z=168.367
X=140.892 Y=295.039 Z=168.527
X=139.651 Y=296.726 Z=168.106
X=137.013 Y=299.681 Z=167.393
X=135.741 Y=302.746 Z=165.647
X=135.459 Y=304.816 Z=164.457
X=135.575 Y=307.260 Z=164.404
X=135.856 Y=309.665 Z=164.557
X=135.992 Y=310.542 Z=164.133
X=135.463 Y=308.948 Z=164.127
X=134.793 Y=301.892 Z=164.788
X=137.394 Y=296.519 Z=165.914
X=139.932 Y=294.968 Z=166.553
X=141.930 Y=295.025 Z=167.362
X=142.765 Y=295.811 Z=167.845
X=142.608 Y=296.926 Z=168.168
X=141.818 Y=297.420 Z=168.463
X=139.214 Y=297.770 Z=168.084
X=133.991 Y=301.833 Z=166.183
X=131.748 Y=307.518 Z=164.153
X=131.792 Y=313.186 Z=163.477
X=134.579 Y=318.834 Z=164.830
X=138.643 Y=504.736 Z=167.025
X=140.575 Y=502.849 Z=168.406
X=139.020 Y=499.452 Z=168.342
X=133.307 Y=491.330 Z=167.158
X=133.346 Y=481.718 Z=167.083
X=136.570 Y=478.229 Z=167.934
X=139.631 Y=293.155 Z=168.806
X=140.764 Y=294.293 Z=169.102
X=140.836 Y=295.883 Z=168.755
X=140.376 Y=297.361 Z=168.509
X=139.952 Y=297.745 Z=167.745
X=139.122 Y=297.560 Z=167.385
X=136.850 Y=297.999 Z=166.611
X=132.304 Y=302.057 Z=164.035
X=131.127 Y=306.666 Z=161.845
X=131.665 Y=308.539 Z=161.515
X=133.354 Y=310.681 Z=162.387
X=134.851 Y=311.167 Z=164.269
X=135.835 Y=310.487 Z=167.275
X=136.556 Y=309.875 Z=170.285
X=137.145 Y=493.849 Z=172.426
X=137.432 Y=493.096 Z=172.617
X=134.155 Y=488.832 Z=172.458
X=132.873 Y=483.882 Z=171.903
X=133.574 Y=478.592 Z=170.886
X=136.740 Y=475.961 Z=170.343
X=138.634 Y=475.778 Z=170.438
X=139.500 Y=475.674 Z=170.879
X=139.693 Y=475.155 Z=170.944
X=139.531 Y=474.619 Z=170.922
X=138.951 Y=474.400 Z=170.919
X=138.665 Y=474.458 Z=170.963
X=138.444 Y=474.539 Z=170.540
X=138.775 Y=474.540 Z=170.010
X=139.299 Y=474.200 Z=169.864
X=139.819 Y=472.996 Z=169.935
X=139.435 Y=467.580 Z=169.212
X=138.263 Y=463.316 Z=167.971
X=139.079 Y=464.191 Z=168.645
X=140.401 Y=467.226 Z=169.841
X=141.297 Y=472.043 Z=171.256
X=141.004 Y=475.995 Z=171.419
X=140.619 Y=478.267 Z=171.411
X=140.116 Y=479.680 Z=171.295
X=139.551 Y=480.307 Z=170.479
X=139.577 Y=480.415 Z=170.282
X=139.490 Y=480.412 Z=170.212
X=139.555 Y=480.425 Z=170.148
X=140.007 Y=480.233 Z=170.294
X=140.202 Y=480.042 Z=170.235
X=140.266 Y=479.824 Z=170.150
X=140.074 Y=478.481 Z=169.918
X=139.421 Y=473.873 Z=169.587
X=138.716 Y=465.411 Z=169.285
X=137.986 Y=-98.947 Z=170.406
X=137.142 Y=-104.636 Z=170.828
X=134.734 Y=-106.008 Z=169.643
X=130.054 Y=-102.968 Z=168.280
X=125.988 Y=-97.364 Z=167.768
X=123.937 Y=-88.825 Z=167.307
X=126.158 Y=-81.087 Z=167.231
X=129.344 Y=-78.520 Z=167.973
X=132.018 Y=-78.644 Z=169.389
X=133.954 Y=-78.968 Z=170.027
X=135.117 Y=-79.464 Z=170.127
X=135.360 Y=-79.903 Z=170.045
X=135.260 Y=-80.296 Z=170.134
X=134.540 Y=-79.400 Z=170.254
X=132.779 Y=-74.090 Z=169.914
X=131.123 Y=305.031 Z=169.161
X=129.071 Y=316.215 Z=169.254
X=125.003 Y=508.090 Z=168.087
X=121.659 Y=506.988 Z=165.938
X=120.529 Y=502.051 Z=164.986
X=120.594 Y=497.030 Z=165.080
X=122.453 Y=491.294 Z=166.000
X=125.230 Y=486.690 Z=166.594
X=129.006 Y=295.704 Z=168.371
X=131.124 Y=290.253 Z=168.757
X=131.378 Y=289.068 Z=168.910
X=131.076 Y=290.173 Z=169.316
X=129.447 Y=291.666 Z=168.645
X=127.540 Y=293.014 Z=168.096
X=126.419 Y=292.476 Z=167.500
X=126.707 Y=286.446 Z=166.998
X=126.871 Y=276.895 Z=166.800
X=126.824 Y=271.129 Z=166.807
X=126.521 Y=269.623 Z=166.753
X=125.699 Y=269.805 Z=166.753
X=125.209 Y=270.293 Z=166.305
X=125.313 Y=270.941 Z=166.278
X=123.798 Y=272.740 Z=165.893
X=119.834 Y=278.304 Z=164.252
X=118.559 Y=281.341 Z=163.781
X=116.516 Y=282.309 Z=162.744
X=112.003 Y=284.601 Z=158.996
X=109.219 Y=285.171 Z=159.051
