X=2.354 Y=15.716 Z=154.646
X=1.433 Y=16.659 Z=156.158
X=0.089 Y=17.654 Z=157.258
X=-0.627 Y=18.622 Z=157.563
X=0.670 Y=18.274 Z=157.096
X=2.641 Y=16.443 Z=156.008
X=4.148 Y=13.978 Z=153.973
X=5.209 Y=12.947 Z=153.088
X=6.228 Y=11.723 Z=151.937
X=6.438 Y=8.770 Z=151.027
X=5.480 Y=6.540 Z=150.473
X=5.263 Y=8.853 Z=150.796
X=4.576 Y=11.681 Z=152.145
X=3.302 Y=13.187 Z=154.412
X=-0.172 Y=11.456 Z=156.023
X=-5.708 Y=9.447 Z=158.300
X=-12.409 Y=7.597 Z=159.238
X=-18.967 Y=7.322 Z=159.952
X=-26.716 Y=7.729 Z=160.338
X=-31.154 Y=8.472 Z=160.700
X=-33.071 Y=9.736 Z=161.310
X=-31.393 Y=11.326 Z=161.471
X=-26.902 Y=14.234 Z=160.680
X=-22.753 Y=20.182 Z=160.053
X=-18.957 Y=30.301 Z=158.214
X=-16.886 Y=45.708 Z=158.118
X=-15.992 Y=56.490 Z=160.524
X=-13.690 Y=61.993 Z=159.680
X=-10.096 Y=61.871 Z=157.769
X=-5.996 Y=57.705 Z=156.505
X=-1.431 Y=50.231 Z=155.897
X=1.605 Y=43.589 Z=154.985
X=2.893 Y=37.853 Z=154.677
X=0.455 Y=33.359 Z=156.254
X=-2.092 Y=31.335 Z=157.662
X=-4.831 Y=29.873 Z=158.782
X=-5.049 Y=29.714 Z=159.126
X=-3.590 Y=27.839 Z=158.983
X=-0.635 Y=22.800 Z=157.986
X=5.352 Y=16.203 Z=155.956
X=10.542 Y=12.356 Z=155.086
X=11.924 Y=11.560 Z=153.665
X=11.425 Y=14.177 Z=152.357
X=10.988 Y=16.906 Z=151.449
X=10.687 Y=18.028 Z=150.626
X=10.579 Y=16.732 Z=150.186
X=10.737 Y=14.375 Z=149.622
X=10.797 Y=13.233 Z=149.491
X=10.809 Y=14.090 Z=149.403
X=10.777 Y=16.202 Z=150.143
X=10.433 Y=18.706 Z=150.623
X=9.942 Y=19.774 Z=150.991
X=9.976 Y=17.140 Z=151.340
X=9.086 Y=14.553 Z=152.307
X=6.680 Y=12.530 Z=154.410
X=3.911 Y=9.165 Z=156.452
X=4.024 Y=7.563 Z=156.772
X=7.863 Y=8.545 Z=156.215
X=12.460 Y=14.655 Z=154.232
X=12.598 Y=19.120 Z=152.525
X=11.905 Y=21.563 Z=151.541
