X=28.972 Y=-4.205 Z=162.838
X=21.980 Y=-7.083 Z=163.947
X=16.674 Y=-10.728 Z=163.756
X=12.723 Y=-13.813 Z=163.034
X=9.853 Y=-14.872 Z=161.278
X=6.982 Y=-14.947 Z=158.385
X=4.615 Y=-13.187 Z=156.117
X=3.134 Y=-9.842 Z=155.241
X=1.780 Y=-6.858 Z=154.266
X=0.365 Y=-4.066 Z=152.595
X=-0.385 Y=-0.848 Z=150.207
X=-0.727 Y=3.395 Z=149.922
X=-2.176 Y=7.711 Z=151.712
X=-6.104 Y=8.029 Z=154.891
X=-8.371 Y=5.065 Z=156.466
X=-8.826 Y=2.191 Z=156.924
X=-10.045 Y=0.153 Z=157.126
X=-11.648 Y=-0.782 Z=157.758
X=-11.777 Y=-0.846 Z=157.990
X=-11.906 Y=-1.232 Z=158.298
X=-12.122 Y=-1.680 Z=158.354
X=-12.485 Y=-1.680 Z=158.079
X=-11.850 Y=1.037 Z=157.726
X=-9.979 Y=8.468 Z=157.016
X=-6.847 Y=21.208 Z=155.618
X=-3.958 Y=35.730 Z=157.229
X=-0.731 Y=43.492 Z=157.968
X=2.967 Y=44.633 Z=157.760
X=7.204 Y=42.205 Z=157.849
X=11.081 Y=36.123 Z=157.067
X=11.673 Y=28.227 Z=156.742
X=9.590 Y=20.955 Z=157.040
X=5.810 Y=16.095 Z=157.304
X=1.930 Y=16.762 Z=157.566
X=-0.717 Y=20.495 Z=158.021
X=-1.851 Y=24.326 Z=158.088
X=-0.523 Y=27.211 Z=157.475
X=1.397 Y=29.637 Z=157.142
X=1.270 Y=30.230 Z=156.955
X=0.061 Y=30.056 Z=157.292
X=-2.644 Y=28.196 Z=158.360
X=-4.889 Y=27.428 Z=159.243
X=-5.883 Y=27.514 Z=159.670
X=-6.413 Y=27.611 Z=159.949
X=-5.126 Y=24.215 Z=160.626
X=-1.004 Y=12.585 Z=157.380
X=-1.075 Y=7.274 Z=155.573
X=-1.141 Y=8.888 Z=156.604
X=-0.298 Y=15.290 Z=157.569
X=0.985 Y=23.814 Z=157.502
X=1.981 Y=33.818 Z=157.420
X=0.638 Y=41.832 Z=157.237
X=-1.890 Y=43.651 Z=157.966
X=-4.089 Y=42.991 Z=158.101
X=-5.484 Y=41.484 Z=158.396
X=-5.935 Y=40.524 Z=158.534
X=-4.269 Y=38.660 Z=158.016
X=-1.802 Y=35.592 Z=157.190
X=-0.606 Y=32.592 Z=155.430
X=-0.442 Y=30.692 Z=154.419
X=-0.589 Y=27.968 Z=154.427
X=-0.871 Y=25.807 Z=154.528
X=-0.985 Y=25.098 Z=154.119
X=-0.277 Y=27.263 Z=154.120
X=0.069 Y=34.511 Z=154.940
X=-2.720 Y=39.469 Z=155.991
X=-5.206 Y=40.746 Z=156.638
X=-7.080 Y=40.522 Z=157.457
X=-7.771 Y=39.685 Z=157.879
X=-7.582 Y=38.625 Z=158.225
X=-6.631 Y=38.235 Z=158.500
X=-3.565 Y=37.582 Z=157.855
X=1.472 Y=33.229 Z=155.943
X=3.317 Y=27.435 Z=153.988
X=3.050 Y=21.759 Z=153.498
X=-0.086 Y=16.306 Z=155.080
X=-3.944 Y=16.025 Z=157.236
X=-5.660 Y=18.063 Z=158.450
X=-3.382 Y=21.833 Z=158.192
X=2.181 Y=30.530 Z=157.139
X=1.251 Y=39.612 Z=157.181
X=-1.954 Y=42.577 Z=158.046
X=-4.863 Y=42.373 Z=158.847
X=-5.762 Y=41.170 Z=159.077
X=-5.769 Y=39.574 Z=158.708
X=-5.323 Y=38.155 Z=158.471
X=-4.907 Y=37.906 Z=157.688
X=-4.045 Y=38.120 Z=157.364
X=-1.202 Y=37.299 Z=156.350
X=2.979 Y=33.061 Z=153.769
X=3.884 Y=28.661 Z=151.763
X=3.216 Y=26.832 Z=151.551
X=1.439 Y=24.824 Z=152.524
X=0.066 Y=24.544 Z=154.612
X=-0.967 Y=25.197 Z=157.639
X=-1.589 Y=25.883 Z=160.622
X=-2.219 Y=26.886 Z=162.492
X=-2.249 Y=27.786 Z=162.615
X=1.122 Y=32.432 Z=162.452
X=2.181 Y=37.380 Z=161.778
X=1.088 Y=42.493 Z=160.799
X=-2.058 Y=44.787 Z=160.331
X=-3.795 Y=44.873 Z=160.499
X=-4.528 Y=45.010 Z=160.896
X=-4.697 Y=45.547 Z=160.949
X=-4.504 Y=46.048 Z=160.933
X=-3.901 Y=46.228 Z=160.923
X=-3.629 Y=46.170 Z=160.975
X=-3.464 Y=46.085 Z=160.507
X=-3.827 Y=46.131 Z=159.958
X=-4.419 Y=46.483 Z=159.888
X=-4.835 Y=47.961 Z=159.918
X=-4.225 Y=53.888 Z=158.984
X=-3.277 Y=57.340 Z=158.000
X=-4.207 Y=56.202 Z=158.760
X=-5.538 Y=52.916 Z=160.013
X=-6.319 Y=48.116 Z=161.364
X=-5.882 Y=44.284 Z=161.396
X=-5.590 Y=42.191 Z=161.379
X=-5.083 Y=40.853 Z=161.290
X=-4.535 Y=40.293 Z=160.407
X=-4.572 Y=40.219 Z=160.283
X=-4.485 Y=40.217 Z=160.211
X=-4.604 Y=40.217 Z=160.160
X=-5.048 Y=40.435 Z=160.301
X=-5.219 Y=40.610 Z=160.217
X=-5.256 Y=40.857 Z=160.129
X=-5.023 Y=42.467 Z=159.880
X=-4.326 Y=47.553 Z=159.541
X=-3.663 Y=56.326 Z=159.388
X=-2.902 Y=65.434 Z=160.500
X=-1.991 Y=70.638 Z=160.809
X=0.713 Y=71.552 Z=159.356
X=5.435 Y=68.089 Z=158.199
X=9.341 Y=62.293 Z=157.697
X=11.068 Y=53.398 Z=157.233
X=8.467 Y=46.146 Z=157.292
X=5.342 Y=44.187 Z=158.149
X=2.769 Y=44.325 Z=159.472
X=0.868 Y=44.663 Z=160.051
X=-0.143 Y=45.131 Z=160.098
X=-0.384 Y=45.579 Z=160.039
X=-0.190 Y=45.914 Z=160.209
X=0.569 Y=44.687 Z=160.263
X=2.399 Y=38.923 Z=159.876
X=4.072 Y=29.370 Z=159.071
X=6.205 Y=18.367 Z=159.209
X=10.495 Y=12.260 Z=157.869
X=13.587 Y=14.178 Z=155.702
X=14.505 Y=19.166 Z=155.020
X=14.348 Y=24.239 Z=155.128
X=12.215 Y=29.874 Z=156.105
X=9.383 Y=34.567 Z=156.742
X=5.629 Y=40.571 Z=158.511
X=3.799 Y=45.664 Z=158.787
X=3.644 Y=46.494 Z=158.895
X=3.981 Y=45.316 Z=159.312
X=5.711 Y=43.812 Z=158.580
X=7.689 Y=42.512 Z=158.012
X=8.558 Y=43.579 Z=157.483
X=8.267 Y=50.168 Z=156.923
X=8.115 Y=59.608 Z=156.753
X=8.202 Y=64.901 Z=156.761
X=8.519 Y=65.999 Z=156.840
X=9.397 Y=65.774 Z=156.579
X=9.789 Y=65.270 Z=156.306
X=9.676 Y=64.600 Z=156.271
X=11.717 Y=62.388 Z=155.730
X=15.455 Y=56.747 Z=154.051
X=16.585 Y=54.188 Z=153.712
X=18.820 Y=53.128 Z=152.577
X=24.925 Y=50.236 Z=147.879
X=26.129 Y=50.482 Z=148.965
X=34.165 Y=48.348 Z=152.380
X=43.928 Y=42.891 Z=155.793
X=56.104 Y=33.426 Z=159.416
X=65.276 Y=25.633 Z=161.173
X=74.639 Y=20.918 Z=160.780
X=91.202 Y=21.754 Z=158.495
X=108.924 Y=19.342 Z=159.142
X=120.370 Y=15.203 Z=155.685
X=126.001 Y=14.789 Z=154.108
X=128.526 Y=16.677 Z=153.298
X=129.656 Y=20.423 Z=150.671
X=128.586 Y=21.662 Z=150.035
X=125.471 Y=20.295 Z=148.290
X=121.954 Y=14.511 Z=150.530
X=116.525 Y=4.270 Z=163.606
X=106.599 Y=-8.261 Z=166.332
X=110.357 Y=-21.560 Z=145.054
X=115.034 Y=-21.024 Z=114.994
X=113.778 Y=-12.657 Z=103.290
X=112.556 Y=-14.958 Z=102.651
X=114.760 Y=-20.556 Z=99.551
