X=-20.473 Y=-20.508 Z=160.166
X=-21.291 Y=-20.163 Z=159.320
X=-21.463 Y=-20.114 Z=159.143
X=-20.694 Y=-20.311 Z=158.699
X=-20.167 Y=-20.511 Z=158.391
X=-19.578 Y=-20.688 Z=158.196
X=-18.783 Y=-21.015 Z=157.938
X=-17.890 Y=-21.435 Z=157.701
X=-14.473 Y=-23.551 Z=157.155
X=-13.050 Y=-24.549 Z=156.468
X=-12.922 Y=-24.170 Z=156.528
X=-13.354 Y=-23.320 Z=157.400
X=-14.180 Y=-22.960 Z=158.118
X=-14.409 Y=-22.932 Z=158.183
X=-14.113 Y=-23.089 Z=156.824
X=-12.375 Y=-24.323 Z=154.946
X=-10.330 Y=-26.449 Z=153.327
X=-9.507 Y=-27.519 Z=152.978
X=-9.525 Y=-26.478 Z=154.200
X=-10.130 Y=-24.485 Z=157.220
X=-12.968 Y=-20.521 Z=158.710
X=-15.935 Y=-16.499 Z=158.338
X=-18.683 Y=-14.355 Z=157.479
X=-20.274 Y=-14.022 Z=157.851
X=-21.540 Y=-14.288 Z=158.241
X=-19.935 Y=-16.091 Z=157.889
X=-14.119 Y=-19.908 Z=156.118
X=-7.066 Y=-24.057 Z=153.660
X=-0.835 Y=-24.521 Z=152.524
X=3.657 Y=-19.250 Z=151.704
X=4.855 Y=-9.184 Z=152.153
X=5.738 Y=0.075 Z=153.480
X=6.171 Y=4.440 Z=153.712
X=6.729 Y=5.931 Z=154.462
X=6.122 Y=7.472 Z=155.551
X=3.265 Y=9.577 Z=156.651
X=0.923 Y=11.461 Z=157.227
X=-0.374 Y=12.033 Z=157.036
X=-0.472 Y=7.077 Z=157.739
X=2.378 Y=-0.295 Z=159.494
X=4.771 Y=-6.014 Z=159.614
X=3.723 Y=-9.902 Z=160.120
X=2.985 Y=-10.827 Z=159.850
X=7.296 Y=-12.777 Z=157.715
X=11.732 Y=-17.936 Z=156.038
X=12.828 Y=-22.315 Z=155.965
X=10.430 Y=-22.624 Z=156.616
X=7.237 Y=-20.616 Z=157.814
X=4.447 Y=-18.011 Z=158.515
X=1.469 Y=-16.922 Z=159.155
X=-0.870 Y=-17.225 Z=159.963
X=-1.457 Y=-17.969 Z=160.037
X=-1.115 Y=-18.450 Z=159.525
X=0.035 Y=-18.563 Z=158.733
X=0.857 Y=-19.234 Z=158.416
X=1.224 Y=-20.401 Z=158.388
X=1.707 Y=-21.361 Z=158.708
X=2.715 Y=-22.090 Z=158.785
X=4.004 Y=-23.843 Z=158.531
X=5.948 Y=-29.477 Z=158.097
X=7.097 Y=-40.155 Z=157.351
X=7.613 Y=-51.512 Z=158.851
X=7.925 Y=-57.482 Z=158.901
X=7.666 Y=-59.004 Z=158.436
X=8.297 Y=-58.375 Z=158.154
X=10.558 Y=-55.401 Z=156.810
X=10.612 Y=-52.870 Z=156.347
X=9.801 Y=-51.130 Z=156.088
X=9.039 Y=-50.096 Z=155.092
X=9.541 Y=-48.381 Z=154.463
X=10.265 Y=-47.631 Z=153.958
X=7.011 Y=-47.769 Z=154.349
X=2.064 Y=-50.667 Z=154.055
X=-3.489 Y=-51.777 Z=153.302
X=-8.582 Y=-48.159 Z=154.922
X=-10.914 Y=-42.165 Z=155.659
X=-10.487 Y=-35.142 Z=156.452
X=-9.559 Y=-29.840 Z=156.617
X=-8.448 Y=-25.798 Z=156.947
X=-7.488 Y=-25.521 Z=156.950
X=-5.626 Y=-29.247 Z=156.456
X=-3.430 Y=-37.517 Z=155.233
X=-1.821 Y=-50.100 Z=154.987
X=-0.436 Y=-59.509 Z=155.224
X=0.602 Y=-63.494 Z=154.752
X=3.249 Y=-61.100 Z=154.281
X=7.345 Y=-54.953 Z=152.310
X=9.100 Y=-48.039 Z=151.069
X=8.987 Y=-44.262 Z=149.267
X=7.377 Y=-41.377 Z=148.945
X=4.294 Y=-35.558 Z=149.969
X=2.926 Y=-26.119 Z=150.080
X=3.318 Y=-14.565 Z=150.238
X=4.505 Y=-7.375 Z=149.875
X=5.055 Y=-5.059 Z=149.359
X=6.563 Y=-5.093 Z=149.690
X=8.481 Y=-4.854 Z=149.117
X=8.808 Y=-3.838 Z=149.291
X=7.879 Y=-2.234 Z=149.502
X=5.916 Y=-0.597 Z=149.913
X=5.568 Y=-1.769 Z=149.113
X=6.729 Y=-7.008 Z=147.984
X=6.813 Y=-9.527 Z=147.469
X=5.562 Y=-13.627 Z=149.533
X=2.916 Y=-18.858 Z=152.123
X=-0.083 Y=-24.530 Z=153.785
X=-1.586 Y=-28.929 Z=154.261
X=2.239 Y=-26.882 Z=151.685
X=4.420 Y=-19.251 Z=148.902
X=3.194 Y=-12.507 Z=149.692
X=1.720 Y=-3.961 Z=149.903
X=1.801 Y=4.705 Z=150.450
X=2.174 Y=12.581 Z=152.273
X=2.670 Y=17.560 Z=153.485
X=7.033 Y=17.318 Z=151.962
X=10.523 Y=14.466 Z=150.357
X=12.327 Y=11.966 Z=149.582
X=13.055 Y=8.178 Z=148.854
X=13.157 Y=6.410 Z=148.157
X=12.432 Y=3.272 Z=147.960
X=10.852 Y=0.265 Z=148.919
X=9.129 Y=-1.477 Z=151.022
X=8.927 Y=-1.882 Z=152.286
X=7.402 Y=-5.782 Z=153.372
X=3.721 Y=-13.524 Z=154.181
X=-0.094 Y=-16.669 Z=155.051
X=-2.893 Y=-15.318 Z=154.961
X=-4.040 Y=-12.306 Z=155.510
X=-4.196 Y=-9.936 Z=156.815
X=-3.394 Y=-11.482 Z=156.575
X=-2.477 Y=-17.948 Z=155.698
X=-1.491 Y=-29.914 Z=154.521
X=-0.101 Y=-42.089 Z=154.266
X=1.319 Y=-47.739 Z=153.350
X=3.259 Y=-47.616 Z=152.132
X=6.307 Y=-42.775 Z=150.823
X=7.257 Y=-37.510 Z=149.553
X=7.098 Y=-34.134 Z=148.785
X=5.677 Y=-29.780 Z=149.250
X=4.195 Y=-23.979 Z=149.938
X=3.310 Y=-13.866 Z=149.828
X=3.194 Y=-7.415 Z=149.783
X=3.044 Y=-4.079 Z=150.036
X=3.166 Y=-3.163 Z=150.165
X=4.161 Y=-2.432 Z=150.177
X=5.353 Y=-1.788 Z=150.190
X=5.741 Y=-0.605 Z=150.460
X=5.464 Y=-0.088 Z=150.604
X=5.536 Y=-0.888 Z=150.897
X=6.292 Y=-3.612 Z=150.372
X=6.736 Y=-6.476 Z=150.164
X=6.954 Y=-7.290 Z=149.727
X=6.697 Y=-5.365 Z=149.769
X=6.402 Y=1.173 Z=150.272
X=6.685 Y=7.292 Z=150.566
X=6.958 Y=11.244 Z=150.952
X=7.122 Y=13.384 Z=151.218
X=7.267 Y=14.119 Z=151.320
X=7.343 Y=14.659 Z=151.354
X=7.330 Y=15.271 Z=151.327
X=7.180 Y=15.801 Z=151.322
X=6.681 Y=16.187 Z=151.083
X=5.809 Y=16.533 Z=151.049
X=4.999 Y=16.896 Z=150.987
X=4.454 Y=17.222 Z=150.941
X=3.916 Y=17.189 Z=150.701
X=3.256 Y=16.745 Z=150.650
X=2.467 Y=16.346 Z=151.948
X=3.179 Y=15.070 Z=153.676
X=4.413 Y=11.850 Z=154.408
X=6.011 Y=8.787 Z=153.634
X=6.565 Y=8.019 Z=152.502
X=6.417 Y=8.057 Z=151.816
X=6.478 Y=8.941 Z=151.144
X=6.811 Y=11.457 Z=149.914
X=7.058 Y=13.952 Z=148.905
X=7.674 Y=10.636 Z=148.859
X=7.190 Y=7.543 Z=149.126
X=6.983 Y=11.473 Z=150.623
X=5.620 Y=16.472 Z=153.076
X=2.482 Y=19.847 Z=154.885
X=-0.658 Y=22.077 Z=155.859
X=-2.785 Y=21.822 Z=156.683
X=-2.141 Y=20.231 Z=157.197
X=-1.252 Y=18.594 Z=157.121
X=1.047 Y=15.970 Z=156.518
X=4.826 Y=11.803 Z=154.331
X=7.682 Y=6.360 Z=153.579
X=8.245 Y=-0.283 Z=153.118
X=5.667 Y=-6.043 Z=153.738
X=2.522 Y=-6.566 Z=153.946
X=0.263 Y=-2.666 Z=155.212
X=-1.032 Y=-0.533 Z=155.866
X=-1.014 Y=-1.355 Z=155.956
X=0.073 Y=-5.260 Z=155.740
X=1.479 Y=-13.323 Z=155.208
X=2.516 Y=-26.679 Z=154.921
X=3.378 Y=-34.896 Z=155.341
X=4.815 Y=-39.212 Z=154.934
X=7.708 Y=-36.944 Z=153.950
X=10.705 Y=-30.474 Z=152.720
X=10.900 Y=-24.754 Z=152.109
X=9.462 Y=-21.756 Z=152.107
X=7.855 Y=-19.813 Z=152.396
X=6.655 Y=-18.092 Z=152.094
X=6.521 Y=-13.862 Z=151.783
X=8.500 Y=-5.978 Z=152.064
X=10.686 Y=1.126 Z=151.559
X=10.665 Y=3.478 Z=152.184
X=7.634 Y=1.397 Z=153.441
X=3.739 Y=-4.951 Z=154.499
X=0.066 Y=-10.653 Z=155.371
X=-3.704 Y=-13.832 Z=156.559
X=-6.908 Y=-14.906 Z=157.445
X=-8.824 Y=-14.634 Z=157.994
X=-9.734 Y=-14.263 Z=158.581
X=-9.925 Y=-14.210 Z=158.803
X=-10.007 Y=-14.257 Z=158.624
X=-9.576 Y=-14.265 Z=157.666
X=-9.440 Y=-13.768 Z=156.770
X=-9.865 Y=-12.379 Z=155.823
X=-10.955 Y=-11.074 Z=155.800
X=-11.650 Y=-10.868 Z=156.166
X=-11.811 Y=-10.873 Z=156.729
X=-11.842 Y=-11.169 Z=157.052
X=-11.813 Y=-11.310 Z=157.202
X=-11.688 Y=-11.275 Z=157.154
X=-11.086 Y=-11.132 Z=157.352
X=-10.576 Y=-11.044 Z=157.615
X=-10.179 Y=-11.052 Z=157.267
X=-10.158 Y=-11.054 Z=155.928
X=-10.360 Y=-11.026 Z=155.951
X=-10.774 Y=-11.089 Z=155.941
X=-11.030 Y=-11.452 Z=156.232
X=-11.294 Y=-11.869 Z=156.416
X=-11.449 Y=-12.267 Z=156.541
X=-11.474 Y=-12.676 Z=156.686
X=-11.430 Y=-13.104 Z=156.966
X=-11.287 Y=-13.129 Z=157.335
X=-11.536 Y=-13.115 Z=157.772
X=-11.470 Y=-13.025 Z=158.268
X=-11.385 Y=-12.991 Z=158.481
X=-11.311 Y=-13.094 Z=158.551
X=-11.320 Y=-13.254 Z=158.596
X=-10.973 Y=-13.342 Z=158.567
X=-10.825 Y=-13.487 Z=158.572
X=-10.210 Y=-13.519 Z=158.432
X=-9.426 Y=-13.244 Z=158.239
X=-8.313 Y=-11.721 Z=158.533
X=-6.658 Y=-7.168 Z=157.826
X=-4.701 Y=0.587 Z=157.365
X=-3.015 Y=9.828 Z=158.790
X=-1.210 Y=15.914 Z=159.229
X=1.260 Y=17.832 Z=158.650
X=5.486 Y=15.922 Z=157.388
X=8.648 Y=13.039 Z=156.306
X=10.913 Y=10.558 Z=155.003
X=12.181 Y=8.291 Z=154.494
X=12.617 Y=6.107 Z=154.715
X=12.328 Y=5.369 Z=153.363
X=12.204 Y=4.801 Z=151.234
X=12.588 Y=4.464 Z=149.845
X=13.289 Y=4.039 Z=149.320
X=13.640 Y=3.825 Z=149.402
X=14.178 Y=4.122 Z=150.110
X=14.589 Y=5.247 Z=149.846
X=13.662 Y=7.267 Z=149.509
X=11.560 Y=9.438 Z=149.988
X=9.582 Y=9.738 Z=150.046
X=5.811 Y=6.169 Z=151.385
X=1.144 Y=3.691 Z=153.246
X=-3.114 Y=-0.050 Z=155.317
X=-5.116 Y=-1.560 Z=155.875
X=-2.124 Y=1.252 Z=155.537
X=3.153 Y=11.104 Z=152.824
X=4.889 Y=15.536 Z=151.759
X=6.139 Y=17.184 Z=151.154
X=7.151 Y=17.432 Z=150.398
X=7.753 Y=17.858 Z=150.239
X=7.517 Y=19.056 Z=150.371
X=7.469 Y=19.633 Z=150.878
X=7.038 Y=19.496 Z=151.068
X=6.484 Y=20.379 Z=151.459
X=6.295 Y=22.005 Z=151.568
X=5.589 Y=23.911 Z=152.347
X=2.754 Y=27.112 Z=154.228
X=0.710 Y=28.514 Z=155.140
X=0.770 Y=28.027 Z=155.183
X=2.949 Y=22.955 Z=155.199
X=5.292 Y=14.351 Z=155.126
X=6.244 Y=5.870 Z=154.758
