X=80.967 Y=328.753 Z=170.575
X=89.302 Y=331.259 Z=171.533
X=97.540 Y=336.802 Z=171.825
X=105.341 Y=344.219 Z=172.142
X=112.358 Y=348.397 Z=172.794
X=118.900 Y=349.747 Z=172.934
X=123.892 Y=347.373 Z=170.410
X=126.862 Y=340.579 Z=165.860
X=130.161 Y=333.996 Z=163.438
X=132.561 Y=330.689 Z=162.043
X=135.850 Y=330.297 Z=160.917
X=138.389 Y=332.368 Z=161.563
X=141.772 Y=332.704 Z=163.655
X=146.840 Y=332.678 Z=165.527
X=151.979 Y=331.844 Z=167.059
X=155.934 Y=329.402 Z=167.691
X=159.106 Y=327.248 Z=167.666
X=161.146 Y=325.798 Z=167.262
X=162.646 Y=325.735 Z=167.248
X=163.824 Y=325.990 Z=167.566
X=163.781 Y=325.942 Z=168.768
X=162.400 Y=326.906 Z=169.791
X=159.983 Y=328.060 Z=169.302
X=156.213 Y=331.566 Z=170.236
X=153.675 Y=337.562 Z=170.604
X=153.824 Y=342.697 Z=171.611
X=154.258 Y=344.443 Z=172.111
X=155.061 Y=344.484 Z=173.339
X=155.421 Y=343.094 Z=173.806
X=154.364 Y=339.024 Z=172.420
X=154.568 Y=333.093 Z=169.614
X=158.912 Y=326.920 Z=167.377
X=164.010 Y=323.696 Z=165.390
X=166.165 Y=322.590 Z=164.445
X=166.359 Y=323.338 Z=164.228
X=165.579 Y=324.441 Z=164.511
X=165.076 Y=324.422 Z=165.171
X=164.650 Y=325.106 Z=165.336
X=164.213 Y=325.985 Z=165.694
X=165.721 Y=327.141 Z=169.382
X=168.775 Y=328.272 Z=170.375
X=170.093 Y=327.968 Z=166.789
X=170.661 Y=327.250 Z=165.044
X=170.766 Y=326.556 Z=163.204
X=173.572 Y=326.461 Z=161.471
X=174.600 Y=326.703 Z=161.551
X=173.875 Y=326.795 Z=161.642
X=168.519 Y=325.525 Z=162.003
X=163.614 Y=325.548 Z=163.383
X=161.439 Y=326.336 Z=165.379
X=160.435 Y=327.276 Z=167.268
X=160.167 Y=328.055 Z=167.874
X=159.358 Y=328.442 Z=168.157
X=157.648 Y=329.316 Z=168.453
X=152.588 Y=332.656 Z=169.897
X=151.211 Y=334.392 Z=169.953
X=150.656 Y=334.339 Z=166.975
X=148.950 Y=337.496 Z=165.831
X=149.703 Y=339.678 Z=165.955
X=154.021 Y=330.988 Z=166.051
X=158.988 Y=327.845 Z=164.771
X=161.508 Y=326.235 Z=163.485
X=165.246 Y=325.285 Z=162.195
X=162.794 Y=324.585 Z=164.516
X=162.266 Y=325.856 Z=165.457
X=163.499 Y=326.343 Z=163.779
X=164.062 Y=326.563 Z=163.790
X=162.670 Y=327.454 Z=164.672
X=158.978 Y=329.086 Z=166.614
X=154.139 Y=336.969 Z=171.611
X=155.555 Y=340.580 Z=173.734
X=157.253 Y=342.226 Z=174.740
X=159.510 Y=345.309 Z=176.012
X=162.086 Y=345.858 Z=177.552
X=161.698 Y=345.688 Z=177.450
X=158.019 Y=343.361 Z=175.480
X=155.206 Y=338.031 Z=171.391
X=158.208 Y=329.603 Z=168.565
X=161.528 Y=327.229 Z=165.148
X=165.150 Y=324.646 Z=162.015
X=171.533 Y=323.539 Z=160.906
X=177.035 Y=330.588 Z=161.248
X=175.959 Y=339.205 Z=161.462
X=174.339 Y=343.085 Z=161.658
X=172.381 Y=344.469 Z=160.105
X=171.131 Y=342.655 Z=160.308
X=172.593 Y=341.776 Z=162.664
X=174.914 Y=341.186 Z=166.064
X=173.883 Y=340.068 Z=168.011
X=169.010 Y=338.475 Z=168.478
X=163.070 Y=335.382 Z=168.180
X=156.790 Y=330.680 Z=168.648
X=153.596 Y=325.138 Z=168.734
X=152.902 Y=319.813 Z=168.660
X=155.294 Y=315.371 Z=169.339
X=157.470 Y=312.408 Z=168.869
X=158.650 Y=312.401 Z=168.080
X=159.044 Y=140.196 Z=168.124
X=157.471 Y=147.229 Z=168.570
X=155.739 Y=152.247 Z=168.208
X=153.838 Y=155.680 Z=167.316
X=152.638 Y=157.579 Z=167.114
X=151.660 Y=158.876 Z=166.810
X=152.151 Y=159.825 Z=166.478
X=153.765 Y=159.998 Z=166.582
X=155.477 Y=159.158 Z=167.540
X=157.235 Y=158.045 Z=171.442
X=157.635 Y=157.043 Z=173.142
X=156.854 Y=157.134 Z=174.433
X=153.468 Y=158.479 Z=174.487
X=149.393 Y=159.988 Z=174.014
X=145.904 Y=160.939 Z=173.278
X=144.326 Y=161.019 Z=173.497
X=144.540 Y=158.746 Z=174.006
X=145.658 Y=156.222 Z=174.653
X=146.346 Y=154.101 Z=175.352
X=146.574 Y=152.912 Z=176.226
X=146.476 Y=151.903 Z=176.970
X=146.101 Y=150.716 Z=176.908
X=144.010 Y=149.999 Z=175.260
X=140.319 Y=149.765 Z=169.689
X=137.886 Y=149.910 Z=166.084
X=136.095 Y=150.396 Z=163.258
X=135.182 Y=151.601 Z=161.968
X=133.443 Y=153.621 Z=161.431
X=133.062 Y=155.645 Z=161.345
X=134.385 Y=156.403 Z=162.161
X=136.857 Y=158.643 Z=163.814
X=140.740 Y=162.462 Z=165.908
X=145.185 Y=352.793 Z=166.207
X=147.688 Y=350.676 Z=166.768
X=148.293 Y=347.999 Z=166.840
X=145.796 Y=344.782 Z=166.314
X=141.612 Y=339.777 Z=165.411
X=139.579 Y=335.841 Z=164.668
X=138.942 Y=334.137 Z=164.293
X=138.779 Y=337.585 Z=164.369
X=140.824 Y=343.302 Z=165.843
X=142.921 Y=346.359 Z=166.685
X=143.294 Y=346.835 Z=166.831
X=140.265 Y=343.455 Z=166.009
X=138.423 Y=337.008 Z=165.541
X=139.023 Y=331.539 Z=165.651
X=141.515 Y=328.578 Z=166.317
X=144.029 Y=328.822 Z=167.315
X=145.246 Y=329.799 Z=167.823
X=145.773 Y=329.755 Z=168.074
X=146.248 Y=328.119 Z=168.147
X=146.561 Y=324.905 Z=168.540
X=146.660 Y=320.958 Z=168.855
X=146.154 Y=313.885 Z=169.116
X=144.103 Y=305.452 Z=168.169
X=143.564 Y=302.420 Z=167.282
X=143.542 Y=303.498 Z=167.362
X=143.529 Y=307.430 Z=167.738
X=144.054 Y=313.942 Z=168.125
X=143.360 Y=321.184 Z=167.089
X=141.994 Y=328.864 Z=165.396
X=140.571 Y=334.253 Z=164.087
X=139.639 Y=336.738 Z=162.494
X=139.373 Y=336.279 Z=162.285
X=138.843 Y=333.396 Z=162.497
X=138.664 Y=329.662 Z=162.291
X=139.299 Y=325.372 Z=162.187
X=139.629 Y=320.306 Z=161.979
X=139.511 Y=317.210 Z=161.744
X=138.448 Y=316.306 Z=161.871
X=136.014 Y=316.502 Z=162.326
X=134.904 Y=317.901 Z=162.945
X=135.164 Y=319.952 Z=164.399
X=136.985 Y=321.456 Z=165.577
X=139.563 Y=322.857 Z=166.796
X=142.506 Y=324.322 Z=167.730
X=145.196 Y=326.585 Z=167.920
X=146.491 Y=329.061 Z=167.874
X=147.887 Y=331.081 Z=168.383
X=149.248 Y=331.561 Z=168.946
X=149.555 Y=331.182 Z=169.133
X=144.852 Y=333.423 Z=167.934
X=143.977 Y=336.730 Z=167.189
X=147.439 Y=337.940 Z=167.658
X=152.059 Y=338.136 Z=167.707
X=156.161 Y=523.271 Z=168.382
