X=-7.260 Y=8.224 Z=156.564
X=-9.364 Y=6.610 Z=157.490
X=-9.694 Y=5.462 Z=157.393
X=-9.211 Y=5.050 Z=156.170
X=-7.708 Y=5.266 Z=155.498
X=-6.546 Y=5.495 Z=155.552
X=-5.747 Y=5.791 Z=156.026
X=-5.302 Y=6.029 Z=156.453
X=-4.958 Y=6.100 Z=156.637
X=-5.026 Y=6.210 Z=156.244
X=-5.626 Y=6.447 Z=155.351
X=-5.963 Y=6.783 Z=155.257
X=-6.113 Y=6.931 Z=155.215
X=-6.052 Y=6.937 Z=155.440
X=-5.877 Y=6.789 Z=155.811
X=-5.753 Y=6.585 Z=156.304
X=-5.695 Y=6.169 Z=156.778
X=-5.850 Y=5.679 Z=157.298
X=-6.359 Y=5.270 Z=157.694
X=-6.496 Y=5.027 Z=157.762
X=-6.795 Y=5.096 Z=157.285
X=-6.838 Y=5.162 Z=157.148
X=-6.608 Y=5.402 Z=156.445
X=-6.247 Y=5.741 Z=155.761
X=-5.890 Y=5.928 Z=155.674
X=-5.687 Y=6.053 Z=155.589
X=-5.436 Y=6.270 Z=155.658
X=-5.265 Y=6.443 Z=155.806
X=-5.194 Y=6.743 Z=155.968
X=-5.309 Y=6.959 Z=156.149
X=-5.592 Y=7.013 Z=156.346
X=-5.821 Y=7.044 Z=156.037
X=-5.961 Y=7.064 Z=155.874
X=-6.059 Y=7.036 Z=155.628
X=-6.347 Y=6.803 Z=155.121
X=-6.374 Y=6.643 Z=155.157
X=-6.457 Y=6.624 Z=155.097
X=-6.655 Y=6.626 Z=155.236
X=-6.802 Y=6.639 Z=155.380
X=-6.894 Y=6.705 Z=155.583
X=-7.106 Y=6.745 Z=155.648
X=-7.300 Y=6.811 Z=155.728
X=-7.441 Y=6.881 Z=155.745
X=-7.628 Y=7.006 Z=155.800
X=-7.901 Y=7.118 Z=155.988
X=-7.990 Y=7.128 Z=156.245
X=-8.073 Y=7.109 Z=156.599
X=-8.064 Y=6.979 Z=157.083
X=-8.271 Y=6.548 Z=157.940
X=-8.365 Y=5.900 Z=159.106
X=-8.653 Y=5.299 Z=160.013
X=-8.703 Y=5.308 Z=160.088
X=-8.598 Y=5.306 Z=160.219
X=-8.555 Y=5.320 Z=160.313
X=-8.397 Y=5.311 Z=160.328
X=-7.605 Y=5.152 Z=160.150
X=-7.163 Y=4.772 Z=160.048
X=-7.028 Y=4.326 Z=160.151
X=-6.918 Y=4.175 Z=160.177
X=-6.874 Y=4.157 Z=160.203
X=-6.773 Y=4.076 Z=160.252
X=-6.655 Y=4.023 Z=160.245
X=-6.619 Y=3.792 Z=160.220
X=-6.676 Y=3.499 Z=160.162
X=-6.726 Y=3.148 Z=160.183
X=-6.831 Y=2.908 Z=160.197
X=-7.115 Y=2.779 Z=160.285
X=-7.533 Y=2.617 Z=160.326
X=-7.692 Y=2.422 Z=160.176
X=-7.696 Y=2.233 Z=160.108
X=-7.520 Y=2.146 Z=160.105
X=-7.437 Y=2.094 Z=160.073
X=-7.242 Y=2.014 Z=159.999
X=-7.096 Y=2.043 Z=160.036
X=-6.790 Y=2.062 Z=159.970
X=-6.499 Y=2.073 Z=159.910
X=-6.153 Y=2.348 Z=159.651
X=-5.865 Y=2.791 Z=159.125
X=-5.699 Y=3.447 Z=158.676
X=-5.795 Y=4.119 Z=158.006
X=-5.709 Y=4.600 Z=157.770
X=-5.470 Y=4.913 Z=157.505
X=-5.367 Y=5.126 Z=157.272
X=-5.274 Y=5.150 Z=157.217
X=-5.255 Y=5.122 Z=157.159
X=-5.143 Y=5.112 Z=157.054
X=-4.760 Y=1.282 Z=155.355
X=-3.257 Y=-5.102 Z=153.888
X=-3.546 Y=-10.915 Z=154.455
X=-5.060 Y=-15.690 Z=155.872
X=-6.917 Y=-17.851 Z=157.492
X=-9.983 Y=-17.819 Z=158.902
X=-13.042 Y=-16.883 Z=159.755
X=-15.769 Y=-15.852 Z=159.944
X=-17.809 Y=-15.039 Z=160.357
X=-19.048 Y=-14.531 Z=160.510
X=-19.735 Y=-14.206 Z=160.364
X=-19.955 Y=-14.054 Z=160.034
X=-19.979 Y=-13.726 Z=159.695
X=-19.750 Y=-13.546 Z=159.614
X=-19.464 Y=-13.266 Z=159.634
X=-19.016 Y=-12.968 Z=159.803
X=-18.542 Y=-12.731 Z=159.967
X=-18.267 Y=-12.701 Z=159.997
X=-18.172 Y=-12.694 Z=160.000
X=-17.927 Y=-12.907 Z=159.710
X=-17.574 Y=-13.137 Z=159.603
X=-16.786 Y=-13.424 Z=159.405
X=-15.872 Y=-13.850 Z=159.412
X=-15.494 Y=-14.201 Z=159.414
X=-15.463 Y=-14.321 Z=159.429
X=-15.459 Y=-14.442 Z=159.277
X=-15.800 Y=-14.243 Z=158.459
X=-15.897 Y=-13.885 Z=157.069
X=-15.731 Y=-13.480 Z=156.296
X=-15.486 Y=-13.345 Z=155.919
X=-15.378 Y=-13.357 Z=155.935
X=-15.346 Y=-13.361 Z=155.876
X=-15.341 Y=-13.342 Z=155.869
X=-15.338 Y=-13.317 Z=155.772
X=-15.362 Y=-13.298 Z=155.693
X=-15.429 Y=-13.179 Z=155.488
X=-15.393 Y=-13.138 Z=155.435
X=-15.241 Y=-13.150 Z=155.874
X=-15.379 Y=-13.225 Z=156.416
X=-15.578 Y=-13.526 Z=156.748
X=-15.614 Y=-13.754 Z=156.960
X=-15.662 Y=-14.096 Z=157.069
X=-15.652 Y=-14.590 Z=157.273
X=-15.215 Y=-14.915 Z=157.285
X=-14.752 Y=-15.210 Z=157.233
X=-14.026 Y=-15.522 Z=157.400
X=-13.941 Y=-15.618 Z=157.428
X=-13.913 Y=-15.704 Z=157.539
X=-14.197 Y=-15.852 Z=157.795
X=-14.452 Y=-15.925 Z=158.001
