X=24.028 Y=314.899 Z=160.404
X=27.982 Y=312.872 Z=161.533
X=37.974 Y=313.600 Z=164.911
X=52.094 Y=319.304 Z=167.179
X=66.043 Y=327.244 Z=168.359
X=75.805 Y=331.256 Z=170.884
X=83.424 Y=334.105 Z=172.536
X=91.182 Y=334.239 Z=173.505
X=98.599 Y=332.105 Z=174.672
X=105.017 Y=328.687 Z=174.555
X=109.708 Y=327.417 Z=175.128
X=114.260 Y=329.424 Z=175.071
X=116.565 Y=333.396 Z=174.467
X=118.788 Y=339.380 Z=172.581
X=120.636 Y=343.365 Z=171.119
X=122.400 Y=341.921 Z=169.421
X=126.849 Y=337.613 Z=167.463
X=131.681 Y=333.366 Z=167.407
X=135.543 Y=330.358 Z=167.755
X=138.265 Y=328.590 Z=168.222
X=140.561 Y=327.620 Z=168.368
X=143.776 Y=326.997 Z=168.599
X=147.121 Y=326.328 Z=168.476
X=150.603 Y=324.783 Z=167.593
X=153.469 Y=324.765 Z=166.974
X=155.314 Y=327.980 Z=166.206
X=154.896 Y=332.813 Z=166.269
X=152.788 Y=337.404 Z=166.861
X=151.592 Y=341.030 Z=168.134
X=151.843 Y=342.890 Z=169.170
X=153.646 Y=342.876 Z=170.083
X=156.730 Y=342.429 Z=170.604
X=158.117 Y=342.622 Z=171.184
X=159.631 Y=342.792 Z=172.104
X=161.314 Y=342.364 Z=172.750
X=162.645 Y=340.801 Z=171.063
X=163.597 Y=339.271 Z=168.652
X=163.883 Y=338.388 Z=167.464
X=163.646 Y=337.906 Z=165.806
X=163.154 Y=337.755 Z=165.535
X=162.350 Y=337.766 Z=165.351
X=159.234 Y=339.661 Z=164.609
X=156.940 Y=341.592 Z=163.235
X=156.010 Y=342.405 Z=162.450
X=155.787 Y=342.621 Z=162.175
X=156.701 Y=341.736 Z=162.939
X=158.687 Y=340.111 Z=165.367
X=160.855 Y=339.111 Z=167.513
X=162.564 Y=338.882 Z=168.611
X=163.222 Y=338.944 Z=169.576
X=163.759 Y=338.836 Z=170.364
X=164.716 Y=338.312 Z=170.743
X=168.508 Y=336.974 Z=170.361
X=170.797 Y=335.660 Z=169.789
X=170.037 Y=333.963 Z=169.060
X=166.279 Y=333.391 Z=167.284
X=160.949 Y=334.845 Z=166.595
X=156.069 Y=336.125 Z=166.925
X=151.033 Y=337.259 Z=166.736
X=149.871 Y=340.466 Z=166.232
X=158.507 Y=341.329 Z=165.510
X=170.838 Y=337.669 Z=164.165
X=180.040 Y=332.063 Z=166.152
X=186.793 Y=327.348 Z=166.407
X=190.879 Y=327.041 Z=167.239
X=193.074 Y=327.875 Z=167.944
X=193.670 Y=328.761 Z=168.458
X=193.219 Y=330.091 Z=169.077
X=192.706 Y=331.987 Z=170.050
X=193.258 Y=333.469 Z=172.037
X=194.217 Y=334.370 Z=172.566
X=194.194 Y=334.702 Z=172.675
X=191.447 Y=335.500 Z=171.289
X=186.770 Y=336.649 Z=167.920
X=181.643 Y=336.343 Z=165.603
X=176.737 Y=332.707 Z=164.568
X=167.984 Y=328.081 Z=163.593
X=160.178 Y=321.836 Z=164.567
X=153.415 Y=320.682 Z=164.192
X=147.284 Y=323.161 Z=164.504
X=140.211 Y=328.514 Z=165.990
X=132.710 Y=335.308 Z=170.745
X=128.012 Y=339.832 Z=173.275
X=125.915 Y=340.709 Z=174.513
X=125.273 Y=337.778 Z=175.522
X=123.749 Y=332.461 Z=173.706
X=121.988 Y=322.296 Z=169.721
X=124.875 Y=317.289 Z=166.302
X=135.038 Y=320.741 Z=166.060
X=144.473 Y=329.176 Z=164.986
X=151.948 Y=334.658 Z=166.434
X=159.812 Y=338.096 Z=167.311
X=165.915 Y=338.195 Z=168.418
X=169.766 Y=337.174 Z=168.311
X=170.962 Y=336.980 Z=168.442
X=170.673 Y=337.460 Z=168.628
X=167.638 Y=339.005 Z=168.785
X=169.314 Y=335.979 Z=169.121
X=173.582 Y=333.240 Z=169.053
X=174.694 Y=332.128 Z=167.478
X=177.832 Y=331.844 Z=163.343
X=181.028 Y=331.848 Z=161.051
X=179.349 Y=331.812 Z=162.086
X=174.190 Y=332.677 Z=167.095
X=171.604 Y=333.237 Z=169.270
X=168.915 Y=332.729 Z=169.295
X=167.392 Y=332.308 Z=168.978
X=167.252 Y=333.106 Z=169.156
X=167.522 Y=333.976 Z=169.122
X=167.991 Y=335.255 Z=168.870
X=168.521 Y=336.206 Z=165.497
X=168.707 Y=336.893 Z=165.251
X=168.677 Y=337.804 Z=165.798
X=168.347 Y=339.055 Z=166.627
X=166.853 Y=341.008 Z=166.569
X=166.530 Y=341.881 Z=166.427
X=166.401 Y=341.554 Z=165.706
X=166.447 Y=340.835 Z=165.357
X=168.103 Y=339.774 Z=164.985
X=171.660 Y=337.828 Z=162.314
X=173.017 Y=337.181 Z=162.261
X=172.092 Y=336.697 Z=165.010
X=170.858 Y=337.702 Z=167.606
X=170.157 Y=339.249 Z=169.654
X=170.477 Y=340.756 Z=172.755
X=170.444 Y=342.095 Z=174.166
X=168.857 Y=344.102 Z=174.647
X=167.990 Y=345.865 Z=175.745
X=167.601 Y=347.538 Z=176.711
X=166.869 Y=350.647 Z=176.992
X=166.465 Y=352.023 Z=176.996
X=165.486 Y=352.460 Z=176.343
X=162.540 Y=351.241 Z=172.485
X=161.510 Y=348.701 Z=168.515
X=162.500 Y=345.986 Z=166.011
X=167.866 Y=339.766 Z=166.184
