X=-3.901 Y=55.411 Z=153.108
X=2.980 Y=53.541 Z=151.405
X=7.544 Y=42.803 Z=152.209
X=10.159 Y=23.089 Z=152.244
X=7.847 Y=1.469 Z=151.998
X=0.929 Y=-11.619 Z=154.824
X=-7.321 Y=-16.869 Z=156.920
X=-10.915 Y=-14.937 Z=158.806
X=-10.493 Y=-11.836 Z=160.535
X=-7.067 Y=-5.573 Z=163.624
X=-6.700 Y=1.085 Z=166.029
X=-7.102 Y=4.917 Z=167.058
X=-7.288 Y=4.774 Z=167.423
X=-5.804 Y=1.539 Z=166.423
X=-3.330 Y=-2.020 Z=165.155
X=-2.708 Y=-2.856 Z=163.373
X=-5.443 Y=-1.469 Z=161.952
X=-10.625 Y=1.180 Z=161.052
X=-15.603 Y=4.278 Z=159.591
X=-19.269 Y=7.964 Z=157.896
X=-21.194 Y=10.400 Z=156.760
X=-22.587 Y=12.233 Z=154.931
X=-24.251 Y=12.333 Z=153.107
X=-27.639 Y=11.691 Z=152.643
X=-30.679 Y=9.320 Z=152.718
X=-30.967 Y=8.151 Z=152.892
X=-28.853 Y=8.166 Z=153.856
X=-23.228 Y=8.273 Z=155.953
X=-20.074 Y=7.742 Z=158.187
X=-18.244 Y=6.832 Z=160.036
X=-17.421 Y=6.648 Z=161.014
X=-16.490 Y=7.124 Z=160.113
X=-14.269 Y=8.922 Z=158.036
X=-13.399 Y=11.393 Z=153.200
X=-11.381 Y=9.962 Z=152.520
X=-9.463 Y=7.584 Z=153.145
X=-4.095 Y=5.457 Z=152.641
X=5.538 Y=1.400 Z=149.654
X=13.643 Y=-4.705 Z=150.471
X=28.047 Y=-9.447 Z=153.960
X=41.440 Y=-13.391 Z=158.885
X=51.847 Y=-18.403 Z=160.568
X=63.298 Y=-20.492 Z=159.533
X=80.353 Y=-20.457 Z=156.237
X=104.290 Y=-18.730 Z=155.488
X=121.735 Y=-20.172 Z=155.013
X=129.502 Y=-22.391 Z=154.544
X=131.911 Y=-26.557 Z=154.859
X=130.798 Y=-34.926 Z=155.903
X=125.635 Y=-45.832 Z=156.867
X=118.691 Y=-61.629 Z=157.673
X=114.545 Y=-73.854 Z=156.291
X=114.452 Y=-84.068 Z=153.813
X=117.641 Y=-96.421 Z=149.395
X=128.715 Y=-112.296 Z=145.453
X=136.049 Y=-125.166 Z=144.712
X=139.116 Y=-130.169 Z=144.381
X=139.105 Y=-129.221 Z=144.642
