X=-49.836 Y=-24.814 Z=150.635
X=-49.967 Y=-25.067 Z=150.522
X=-49.191 Y=-25.842 Z=149.254
X=-47.284 Y=-28.994 Z=149.367
X=-48.198 Y=-34.165 Z=149.389
X=-49.201 Y=-36.234 Z=149.241
X=-50.161 Y=-37.080 Z=149.473
X=-50.255 Y=-37.463 Z=149.757
X=-50.730 Y=-37.675 Z=151.219
X=-51.534 Y=-37.642 Z=152.223
X=-52.039 Y=-37.604 Z=152.631
X=-52.635 Y=-37.491 Z=152.797
X=-53.226 Y=-37.334 Z=152.971
X=-53.669 Y=-37.145 Z=153.096
X=-53.998 Y=-36.967 Z=153.147
X=-54.137 Y=-36.808 Z=153.185
X=-54.086 Y=-36.684 Z=153.245
X=-53.462 Y=-36.846 Z=153.144
X=-52.389 Y=-37.231 Z=152.188
X=-54.134 Y=-34.386 Z=151.421
X=-57.952 Y=-28.940 Z=151.272
X=-60.696 Y=-24.617 Z=149.912
X=-63.409 Y=-23.540 Z=149.401
X=-66.031 Y=-25.468 Z=149.183
X=-67.411 Y=-28.230 Z=148.896
X=-68.393 Y=-30.924 Z=149.389
X=-68.462 Y=-31.978 Z=150.192
X=-68.152 Y=-32.785 Z=149.893
X=-67.559 Y=-33.034 Z=149.645
X=-67.580 Y=-33.036 Z=149.059
X=-67.800 Y=-32.867 Z=149.009
X=-66.496 Y=-29.132 Z=151.675
X=-62.930 Y=-21.239 Z=152.498
X=-56.412 Y=-14.680 Z=152.896
X=-49.290 Y=-10.519 Z=152.981
X=-41.280 Y=-9.657 Z=152.125
X=-31.039 Y=-11.692 Z=151.026
X=-19.724 Y=-15.630 Z=151.412
X=-10.872 Y=-18.210 Z=151.004
X=-5.715 Y=-17.738 Z=148.736
X=-4.600 Y=-14.174 Z=147.950
X=-4.246 Y=-10.252 Z=147.752
X=-3.553 Y=-7.648 Z=147.472
X=-3.330 Y=-6.701 Z=148.399
X=-4.705 Y=-6.955 Z=150.516
X=-6.133 Y=-8.256 Z=151.912
X=-6.868 Y=-9.783 Z=152.925
X=-7.077 Y=-11.369 Z=153.285
X=-6.948 Y=-12.267 Z=153.365
X=-6.934 Y=-12.604 Z=153.378
X=-7.371 Y=-13.059 Z=154.224
X=-7.315 Y=-13.002 Z=154.298
X=-6.969 Y=-13.005 Z=153.951
X=-6.570 Y=-12.643 Z=153.474
X=-6.360 Y=-12.263 Z=153.047
X=-6.241 Y=-12.223 Z=152.900
X=-6.255 Y=-12.322 Z=153.012
X=-6.616 Y=-12.318 Z=153.605
X=-7.046 Y=-12.194 Z=153.881
X=-7.183 Y=-12.711 Z=154.133
X=-7.728 Y=-13.992 Z=154.225
X=-7.247 Y=-14.984 Z=154.141
X=-7.089 Y=-16.536 Z=153.678
X=-7.206 Y=-17.336 Z=153.160
X=-7.002 Y=-16.644 Z=152.972
X=-6.052 Y=-15.617 Z=151.559
X=-5.195 Y=-14.219 Z=150.695
X=-4.586 Y=-12.642 Z=149.217
X=-4.926 Y=-11.467 Z=148.201
X=-5.584 Y=-10.883 Z=147.475
X=-6.416 Y=-10.734 Z=147.149
X=-7.141 Y=-10.794 Z=147.135
X=-7.677 Y=-10.907 Z=147.176
X=-8.192 Y=-10.650 Z=147.225
X=-8.824 Y=-9.603 Z=147.302
X=-9.368 Y=-8.147 Z=147.685
X=-9.895 Y=-6.463 Z=147.884
X=-10.600 Y=-4.791 Z=148.213
X=-10.947 Y=-4.108 Z=148.444
X=-11.176 Y=-4.046 Z=148.469
X=-10.791 Y=-4.246 Z=148.813
X=-10.242 Y=-4.605 Z=150.478
X=-9.803 Y=-7.556 Z=153.287
X=-10.078 Y=-11.255 Z=154.648
X=-9.646 Y=-10.913 Z=155.324
X=-9.899 Y=-7.761 Z=155.430
X=-9.987 Y=-6.732 Z=155.427
X=-9.485 Y=-6.219 Z=155.315
X=-9.401 Y=-5.574 Z=155.200
X=-9.323 Y=-4.889 Z=154.975
X=-9.257 Y=-4.582 Z=154.711
X=-7.941 Y=-5.713 Z=153.409
X=-6.883 Y=-8.899 Z=151.375
X=-6.667 Y=-11.517 Z=149.706
X=-6.691 Y=-12.813 Z=149.196
X=-7.199 Y=-13.714 Z=149.069
X=-7.942 Y=-13.925 Z=148.983
X=-8.761 Y=-13.834 Z=148.878
X=-9.513 Y=-13.699 Z=148.744
X=-9.727 Y=-13.249 Z=148.564
X=-9.919 Y=-12.655 Z=148.538
X=-10.051 Y=-12.319 Z=148.515
X=-10.070 Y=-12.084 Z=148.521
X=-9.879 Y=-11.971 Z=148.468
X=-9.203 Y=-11.956 Z=148.232
X=-8.612 Y=-11.993 Z=148.035
X=-8.204 Y=-12.403 Z=148.100
X=-7.514 Y=-12.967 Z=148.191
X=-6.876 Y=-13.325 Z=148.108
X=-6.616 Y=-13.759 Z=148.197
X=-6.551 Y=-14.345 Z=148.237
X=-6.587 Y=-14.682 Z=148.464
X=-6.405 Y=-14.914 Z=149.006
X=-6.382 Y=-15.436 Z=150.123
X=-6.233 Y=-15.790 Z=150.803
X=-5.926 Y=-15.850 Z=151.161
X=-5.200 Y=-15.943 Z=151.171
X=-5.412 Y=-16.073 Z=151.226
X=-5.646 Y=-16.478 Z=151.224
X=-5.899 Y=-16.735 Z=151.361
X=-6.216 Y=-16.947 Z=151.828
X=-5.823 Y=-15.235 Z=152.393
X=-5.473 Y=-11.903 Z=152.731
X=-5.447 Y=-9.694 Z=152.834
X=-5.437 Y=-8.957 Z=152.763
X=-5.521 Y=-8.918 Z=152.810
X=-5.546 Y=-8.905 Z=152.817
X=-4.977 Y=-9.754 Z=152.821
X=-4.493 Y=-11.753 Z=152.500
X=-4.655 Y=-14.417 Z=151.864
X=-6.243 Y=-15.978 Z=151.760
X=-7.598 Y=-16.506 Z=152.077
X=-8.091 Y=-16.289 Z=152.299
X=-8.205 Y=-15.547 Z=152.106
X=-8.400 Y=-14.632 Z=152.023
X=-8.588 Y=-13.828 Z=151.953
X=-8.769 Y=-13.183 Z=151.910
X=-8.908 Y=-12.662 Z=151.881
X=-8.851 Y=-12.159 Z=152.250
X=-8.307 Y=-11.631 Z=152.179
X=-7.767 Y=-12.028 Z=152.151
X=-6.689 Y=-14.395 Z=152.275
X=-7.258 Y=-17.179 Z=150.713
X=-7.930 Y=-18.272 Z=150.392
X=-7.650 Y=-17.720 Z=152.225
X=-6.504 Y=-14.908 Z=152.216
X=-5.626 Y=-11.923 Z=153.025
X=-5.955 Y=-8.363 Z=153.414
X=-9.003 Y=-4.126 Z=152.833
X=-10.988 Y=-2.725 Z=151.345
X=-11.205 Y=-2.839 Z=151.153
X=-11.056 Y=-3.290 Z=151.216
X=-10.398 Y=-3.827 Z=151.154
X=-9.750 Y=-4.134 Z=151.228
X=-9.417 Y=-4.295 Z=151.402
X=-9.636 Y=-4.526 Z=151.426
X=-10.145 Y=-4.892 Z=151.541
X=-10.554 Y=-5.162 Z=151.558
X=-11.119 Y=-5.379 Z=151.573
X=-11.823 Y=-5.383 Z=151.722
X=-12.441 Y=-5.412 Z=151.793
X=-12.946 Y=-4.984 Z=151.899
X=-13.753 Y=-4.320 Z=152.093
X=-14.112 Y=-3.907 Z=152.230
X=-14.109 Y=-3.903 Z=152.170
X=-13.942 Y=-4.008 Z=152.016
X=-13.389 Y=-4.205 Z=151.872
X=-13.346 Y=-4.253 Z=151.822
X=-13.767 Y=-4.304 Z=151.961
X=-14.093 Y=-4.097 Z=151.962
X=-14.394 Y=-4.044 Z=152.042
X=-14.725 Y=-3.760 Z=152.039
X=-14.839 Y=-3.700 Z=152.020
X=-14.860 Y=-3.643 Z=152.025
X=-14.769 Y=-3.575 Z=151.992
X=-14.585 Y=-3.566 Z=151.999
X=-14.414 Y=-3.544 Z=151.980
X=-13.978 Y=-3.542 Z=151.917
X=-13.673 Y=-3.770 Z=151.984
X=-13.545 Y=-3.895 Z=151.963
X=-13.476 Y=-3.954 Z=151.967
X=-13.399 Y=-3.999 Z=151.955
X=-13.392 Y=-3.954 Z=151.954
X=-13.168 Y=-4.028 Z=152.185
X=-13.321 Y=-4.067 Z=152.216
X=-13.429 Y=-4.018 Z=152.272
X=-13.929 Y=-4.176 Z=152.254
X=-14.618 Y=-4.099 Z=152.234
X=-15.066 Y=-3.910 Z=152.231
X=-15.193 Y=-3.810 Z=152.109
X=-15.166 Y=-3.657 Z=152.086
X=-15.360 Y=-1.013 Z=151.974
X=-15.826 Y=6.896 Z=151.147
X=-16.767 Y=19.051 Z=150.221
X=-17.900 Y=26.885 Z=152.370
X=-18.436 Y=30.673 Z=152.452
X=-18.924 Y=31.946 Z=152.247
X=-18.464 Y=31.818 Z=152.305
X=-15.821 Y=29.455 Z=152.624
X=-13.761 Y=24.823 Z=152.689
X=-13.770 Y=23.941 Z=152.030
X=-13.223 Y=23.084 Z=149.277
X=-13.485 Y=22.457 Z=147.848
X=-14.080 Y=21.808 Z=147.464
X=-14.334 Y=21.166 Z=147.275
X=-14.168 Y=20.543 Z=147.180
X=-13.178 Y=18.468 Z=146.961
X=-10.625 Y=15.084 Z=146.671
X=-6.986 Y=11.960 Z=147.022
X=-3.548 Y=10.092 Z=146.910
X=-2.491 Y=9.387 Z=146.636
X=-2.424 Y=9.050 Z=146.755
X=-2.755 Y=9.081 Z=146.925
X=-4.036 Y=9.245 Z=147.359
X=-5.589 Y=9.664 Z=147.741
X=-7.821 Y=10.510 Z=147.868
X=-9.899 Y=11.812 Z=147.078
X=-10.902 Y=13.458 Z=146.745
X=-11.132 Y=15.908 Z=146.764
X=-10.534 Y=17.299 Z=147.072
X=-9.576 Y=17.627 Z=148.619
X=-10.027 Y=16.812 Z=152.564
