X=184.776 Y=349.826 Z=160.629
X=184.979 Y=350.040 Z=160.560
X=184.310 Y=350.793 Z=159.273
X=182.464 Y=353.592 Z=159.427
X=182.969 Y=358.715 Z=159.419
X=184.128 Y=361.050 Z=159.221
X=185.151 Y=362.050 Z=159.465
X=185.283 Y=362.389 Z=159.614
X=185.619 Y=362.678 Z=161.015
X=186.458 Y=362.648 Z=162.111
X=187.015 Y=362.597 Z=162.620
X=187.603 Y=362.503 Z=162.786
X=188.171 Y=362.359 Z=162.953
X=188.605 Y=362.191 Z=163.081
X=188.984 Y=361.985 Z=163.155
X=189.142 Y=361.818 Z=163.184
X=189.097 Y=361.684 Z=163.236
X=188.554 Y=361.812 Z=163.169
X=187.460 Y=362.217 Z=162.393
X=188.679 Y=359.905 Z=161.347
X=192.602 Y=354.563 Z=161.307
X=195.384 Y=349.938 Z=160.125
X=198.115 Y=348.459 Z=159.471
X=200.769 Y=350.235 Z=159.209
X=202.301 Y=352.896 Z=158.962
X=203.360 Y=355.650 Z=159.252
X=203.458 Y=356.874 Z=160.190
X=203.166 Y=357.772 Z=159.895
X=202.567 Y=357.995 Z=159.662
X=202.503 Y=358.009 Z=159.167
X=202.766 Y=357.956 Z=158.963
X=201.756 Y=354.882 Z=161.268
X=198.579 Y=347.029 Z=162.585
X=192.195 Y=340.321 Z=162.840
X=185.121 Y=335.833 Z=163.067
X=177.252 Y=334.599 Z=162.249
X=167.361 Y=336.334 Z=161.188
X=155.933 Y=340.173 Z=161.282
X=146.798 Y=343.002 Z=161.199
X=140.989 Y=342.974 Z=158.844
X=139.682 Y=339.587 Z=157.977
X=139.301 Y=335.618 Z=157.765
X=138.655 Y=332.852 Z=157.497
X=138.311 Y=331.770 Z=158.272
X=139.527 Y=331.907 Z=160.222
X=141.024 Y=333.074 Z=161.849
X=141.751 Y=334.570 Z=162.840
X=142.076 Y=336.211 Z=163.295
X=141.954 Y=337.146 Z=163.371
X=141.922 Y=337.592 Z=163.381
X=142.332 Y=338.064 Z=164.177
X=142.366 Y=338.007 Z=164.295
X=142.004 Y=338.087 Z=164.054
X=141.605 Y=337.703 Z=163.545
X=141.408 Y=337.272 Z=163.050
X=141.239 Y=337.214 Z=162.895
X=141.315 Y=337.337 Z=162.844
X=141.545 Y=337.304 Z=163.575
X=142.031 Y=337.196 Z=163.831
X=142.157 Y=337.568 Z=164.084
X=142.631 Y=338.861 Z=164.409
X=142.289 Y=339.827 Z=164.144
X=142.072 Y=536.991 Z=163.719
X=142.191 Y=537.965 Z=163.219
X=142.047 Y=537.432 Z=163.020
X=141.098 Y=536.327 Z=161.749
X=140.258 Y=535.027 Z=160.794
X=139.590 Y=533.417 Z=159.389
X=139.844 Y=532.190 Z=158.304
X=140.467 Y=531.562 Z=157.526
X=141.319 Y=531.349 Z=157.184
X=142.106 Y=531.380 Z=157.129
X=142.629 Y=531.581 Z=157.193
X=143.158 Y=531.297 Z=157.208
X=143.746 Y=530.391 Z=157.272
X=144.246 Y=528.999 Z=157.628
X=144.838 Y=527.280 Z=157.873
X=145.547 Y=525.575 Z=158.132
X=145.919 Y=524.806 Z=158.449
X=146.167 Y=524.632 Z=158.462
X=145.842 Y=524.883 Z=158.724
X=145.259 Y=525.025 Z=160.196
X=144.855 Y=527.741 Z=162.988
X=145.054 Y=531.656 Z=164.604
X=144.708 Y=532.020 Z=165.303
X=144.838 Y=528.730 Z=165.415
X=144.998 Y=527.431 Z=165.425
X=144.535 Y=526.931 Z=165.322
X=144.404 Y=526.252 Z=165.214
X=144.317 Y=525.587 Z=164.986
X=144.367 Y=525.228 Z=164.789
X=143.192 Y=525.963 Z=163.597
X=141.914 Y=529.210 Z=161.567
X=141.696 Y=531.916 Z=159.842
X=141.661 Y=533.313 Z=159.243
X=142.125 Y=534.275 Z=159.080
X=142.846 Y=534.540 Z=158.980
X=143.657 Y=534.485 Z=158.886
X=144.443 Y=534.352 Z=158.766
X=144.707 Y=533.953 Z=158.562
X=144.901 Y=533.333 Z=158.541
X=145.039 Y=533.018 Z=158.518
X=145.076 Y=532.741 Z=158.522
X=144.920 Y=532.615 Z=158.483
X=144.258 Y=532.597 Z=158.250
X=143.663 Y=532.625 Z=158.041
X=143.262 Y=532.981 Z=158.083
X=142.566 Y=533.553 Z=158.198
X=141.967 Y=533.930 Z=158.111
X=141.625 Y=534.340 Z=158.189
X=141.535 Y=534.925 Z=158.214
X=141.580 Y=535.289 Z=158.445
