X=141.994 Y=316.622 Z=166.460
X=144.236 Y=318.217 Z=167.378
X=144.697 Y=319.447 Z=167.471
X=144.314 Y=319.971 Z=166.314
X=142.844 Y=319.748 Z=165.543
X=141.610 Y=319.531 Z=165.520
X=140.813 Y=319.222 Z=165.973
X=140.336 Y=319.003 Z=166.395
X=139.983 Y=318.906 Z=166.669
X=139.959 Y=318.834 Z=166.395
X=140.581 Y=318.574 Z=165.413
X=140.956 Y=318.217 Z=165.276
X=141.092 Y=318.086 Z=165.222
X=141.078 Y=318.048 Z=165.397
X=140.896 Y=318.179 Z=165.764
X=140.784 Y=318.392 Z=166.224
X=140.703 Y=318.774 Z=166.727
X=140.840 Y=319.218 Z=167.210
X=141.326 Y=319.663 Z=167.666
X=141.469 Y=319.975 Z=167.779
X=141.806 Y=319.922 Z=167.321
X=141.823 Y=319.856 Z=167.183
X=141.666 Y=319.634 Z=166.516
X=141.297 Y=319.296 Z=165.813
X=140.931 Y=319.085 Z=165.679
X=140.717 Y=318.974 Z=165.605
X=140.467 Y=318.752 Z=165.657
X=140.266 Y=318.585 Z=165.787
X=140.185 Y=318.291 Z=165.961
X=140.294 Y=318.056 Z=166.117
X=140.547 Y=317.985 Z=166.336
X=140.799 Y=317.968 Z=166.048
X=140.948 Y=317.937 Z=165.909
X=141.036 Y=317.961 Z=165.665
X=141.309 Y=318.185 Z=165.158
X=141.369 Y=318.343 Z=165.168
X=141.441 Y=318.373 Z=165.101
X=141.630 Y=318.373 Z=165.214
X=141.790 Y=318.362 Z=165.371
X=141.892 Y=318.308 Z=165.562
X=142.076 Y=318.260 Z=165.640
X=142.290 Y=318.200 Z=165.718
X=142.431 Y=318.132 Z=165.744
X=142.607 Y=318.004 Z=165.791
X=142.880 Y=317.889 Z=165.968
X=143.006 Y=317.871 Z=166.172
X=143.078 Y=317.890 Z=166.560
X=143.034 Y=317.946 Z=167.022
X=143.239 Y=318.398 Z=167.857
X=143.330 Y=318.985 Z=168.930
X=143.613 Y=319.681 Z=170.004
X=143.704 Y=319.695 Z=170.089
X=143.612 Y=319.698 Z=170.198
X=143.567 Y=319.678 Z=170.304
X=143.442 Y=319.693 Z=170.327
X=142.670 Y=319.819 Z=170.153
X=142.238 Y=320.156 Z=170.063
X=142.047 Y=320.640 Z=170.135
X=141.938 Y=320.815 Z=170.171
X=141.879 Y=320.847 Z=170.186
X=141.798 Y=320.927 Z=170.249
X=141.669 Y=320.967 Z=170.246
X=141.607 Y=321.183 Z=170.226
X=141.669 Y=321.470 Z=170.160
X=141.716 Y=321.763 Z=170.167
X=141.818 Y=322.082 Z=170.193
X=142.073 Y=322.203 Z=170.273
X=142.503 Y=322.360 Z=170.329
