00:18.98 X=149.524 Y=139.220 Z=171.081 X=177.851 Y=539.535 Z=171.206
00:28.64 X=162.298 Y=518.824 Z=171.740 X=162.040 Y=66.421 Z=171.740
00:32.32 X=167.490 Y=81.504 Z=156.859 X=167.815 Y=166.204 Z=156.859
00:32.48 X=167.904 Y=166.253 Z=156.688 X=168.546 Y=249.576 Z=156.688
00:35.74 X=160.025 Y=225.017 Z=160.741 X=135.115 Y=95.241 Z=160.741
00:48.08 X=151.843 Y=131.190 Z=165.363 X=171.565 Y=322.751 Z=165.363
00:55.20 X=170.799 Y=319.279 Z=165.935 X=174.773 Y=527.469 Z=165.935
01:03.38 X=166.392 Y=515.298 Z=166.344 X=159.481 Y=303.301 Z=166.344
01:19.33 X=162.376 Y=308.364 Z=170.065 X=166.171 Y=-36.272 Z=170.065
01:36.11 X=149.949 Y=-27.947 Z=172.461 X=143.734 Y=511.843 Z=172.461
