X=-15.941 Y=-54.633 Z=137.305
X=-15.941 Y=-54.633 Z=137.305
X=-15.142 Y=-55.429 Z=137.235
X=-15.142 Y=-55.429 Z=137.235
X=-14.642 Y=-55.904 Z=137.088
X=-14.546 Y=-56.061 Z=137.105
X=-14.546 Y=-56.061 Z=137.105
X=-14.434 Y=-56.072 Z=137.047
X=-14.434 Y=-56.072 Z=137.047
X=-14.128 Y=-56.388 Z=136.964
X=-13.819 Y=-57.119 Z=136.956
X=-13.819 Y=-57.119 Z=136.956
X=-13.688 Y=-57.549 Z=137.037
X=-13.688 Y=-57.549 Z=137.037
X=-13.699 Y=-57.883 Z=137.006
X=-13.898 Y=-57.881 Z=137.355
X=-13.898 Y=-57.881 Z=137.355
X=-13.891 Y=-57.892 Z=137.372
X=-13.891 Y=-57.892 Z=137.372
X=-13.758 Y=-57.929 Z=137.464
X=-13.463 Y=-58.052 Z=137.567
X=-13.463 Y=-58.052 Z=137.567
X=-13.021 Y=-58.412 Z=137.425
X=-13.021 Y=-58.412 Z=137.425
X=-12.776 Y=-58.614 Z=137.220
X=-12.788 Y=-58.945 Z=137.219
X=-12.812 Y=-59.159 Z=137.225
X=-13.005 Y=-59.119 Z=137.364
X=-13.561 Y=-58.973 Z=137.883
X=-14.612 Y=-57.951 Z=139.856
X=-17.502 Y=-54.476 Z=149.772
X=-21.025 Y=-51.221 Z=157.781
X=-26.449 Y=-46.070 Z=166.911
X=-30.838 Y=-41.924 Z=171.422
X=-34.315 Y=-36.630 Z=174.522
X=-35.535 Y=-27.873 Z=176.487
X=-34.793 Y=-17.733 Z=177.643
X=-34.105 Y=-9.154 Z=177.234
X=-32.883 Y=-5.309 Z=176.621
X=-31.181 Y=-5.357 Z=174.434
X=-31.926 Y=-4.653 Z=172.354
X=-34.504 Y=-3.697 Z=170.944
X=-37.761 Y=-2.295 Z=170.278
X=-40.079 Y=-0.918 Z=171.844
X=-40.642 Y=-0.123 Z=173.018
X=-41.067 Y=0.016 Z=173.603
X=-41.293 Y=-0.094 Z=174.321
X=-41.325 Y=-0.222 Z=174.520
X=-41.374 Y=-0.223 Z=174.530
X=-41.397 Y=-0.212 Z=174.580
X=-41.419 Y=-0.249 Z=174.565
X=-41.383 Y=-0.351 Z=174.542
X=-41.359 Y=-0.370 Z=174.570
X=-41.373 Y=-0.419 Z=174.569
X=-41.419 Y=-0.456 Z=174.578
X=-41.454 Y=-0.502 Z=174.590
X=-41.511 Y=-0.589 Z=174.585
X=-41.556 Y=-0.684 Z=174.620
X=-41.591 Y=-0.769 Z=174.630
X=-41.584 Y=-0.914 Z=174.620
X=-41.595 Y=-1.060 Z=174.600
X=-41.597 Y=-1.156 Z=174.582
X=-41.643 Y=-1.270 Z=174.582
X=-41.685 Y=-1.403 Z=174.635
X=-41.739 Y=-1.477 Z=174.695
X=-41.790 Y=-1.529 Z=174.739
X=-41.865 Y=-1.593 Z=174.776
X=-41.919 Y=-1.588 Z=174.774
X=-41.928 Y=-1.592 Z=174.773
X=-41.914 Y=-1.593 Z=174.775
X=-41.893 Y=-1.520 Z=174.793
X=-41.669 Y=-1.513 Z=174.841
X=-38.971 Y=-4.025 Z=175.380
X=-38.971 Y=-4.025 Z=175.380
X=-38.057 Y=-5.914 Z=175.622
X=-38.057 Y=-5.914 Z=175.622
X=-36.547 Y=-7.948 Z=176.068
X=-34.613 Y=-10.133 Z=176.607
X=-34.613 Y=-10.133 Z=176.607
X=-30.047 Y=-13.780 Z=177.266
X=-30.047 Y=-13.780 Z=177.266
X=-25.642 Y=-19.927 Z=177.770
X=-22.519 Y=-23.481 Z=178.156
X=-22.519 Y=-23.481 Z=178.156
X=-24.121 Y=-14.511 Z=177.727
X=-24.121 Y=-14.511 Z=177.727
X=-26.596 Y=-0.746 Z=177.228
X=-28.796 Y=5.444 Z=176.799
X=-28.796 Y=5.444 Z=176.799
X=-30.008 Y=1.077 Z=177.676
X=-30.008 Y=1.077 Z=177.676
X=-28.901 Y=-1.637 Z=177.898
X=-27.471 Y=-1.968 Z=177.687
X=-27.471 Y=-1.968 Z=177.687
X=-26.712 Y=-1.997 Z=177.737
X=-26.712 Y=-1.997 Z=177.737
X=-26.601 Y=-1.738 Z=177.801
X=-28.802 Y=0.826 Z=177.348
X=-28.802 Y=0.826 Z=177.348
X=-32.130 Y=3.200 Z=176.124
X=-32.130 Y=3.200 Z=176.124
X=-33.946 Y=3.948 Z=175.555
X=-34.234 Y=3.506 Z=175.645
X=-34.234 Y=3.506 Z=175.645
X=-34.345 Y=2.957 Z=175.758
X=-34.345 Y=2.957 Z=175.758
X=-34.575 Y=2.683 Z=175.874
X=-34.575 Y=2.683 Z=175.874
X=-34.999 Y=2.515 Z=175.831
X=-35.276 Y=2.606 Z=175.781
X=-35.276 Y=2.606 Z=175.781
X=-32.304 Y=3.102 Z=174.544
X=-32.304 Y=3.102 Z=174.544
X=-19.690 Y=-3.883 Z=166.977
X=-17.703 Y=-8.115 Z=165.489
X=-16.818 Y=-13.728 Z=164.340
X=-17.339 Y=-15.832 Z=163.851
