X=1.144 Y=-6.062 Z=150.942
X=1.186 Y=-5.122 Z=150.732
X=2.025 Y=-4.990 Z=150.537
X=3.670 Y=-4.344 Z=149.921
X=5.999 Y=-4.005 Z=148.687
X=3.697 Y=-7.226 Z=149.369
X=-1.880 Y=-16.733 Z=150.936
X=-8.896 Y=-26.508 Z=152.022
X=-15.166 Y=-29.634 Z=154.394
X=-17.826 Y=-28.860 Z=156.473
X=-19.678 Y=-26.891 Z=156.432
X=-21.086 Y=-25.234 Z=156.546
X=-21.728 Y=-24.561 Z=156.642
X=-22.684 Y=-24.359 Z=157.751
X=-23.353 Y=-24.528 Z=157.946
X=-23.623 Y=-24.845 Z=158.054
X=-23.589 Y=-24.788 Z=158.113
X=-23.449 Y=-24.789 Z=157.859
X=-23.336 Y=-24.878 Z=157.864
X=-23.345 Y=-24.963 Z=157.793
X=-23.333 Y=-25.105 Z=157.793
X=-23.314 Y=-25.472 Z=157.820
X=-23.270 Y=-26.343 Z=157.733
X=-18.787 Y=-25.624 Z=156.472
X=-12.480 Y=-21.662 Z=154.843
X=-9.991 Y=-18.033 Z=153.631
X=-9.042 Y=-16.140 Z=152.975
X=-8.240 Y=-14.781 Z=152.516
X=-6.257 Y=-11.523 Z=152.297
X=-1.764 Y=-5.495 Z=152.258
X=4.766 Y=-0.528 Z=151.960
X=10.005 Y=0.565 Z=152.040
X=14.170 Y=-0.494 Z=151.487
X=17.399 Y=-1.464 Z=150.989
X=18.982 Y=-1.838 Z=150.404
X=17.911 Y=-1.681 Z=150.817
X=16.047 Y=-0.655 Z=151.610
X=15.855 Y=-0.267 Z=151.815
X=18.257 Y=-0.613 Z=151.367
X=20.165 Y=-1.012 Z=151.454
X=19.927 Y=-0.590 Z=151.913
X=19.136 Y=-1.986 Z=151.895
X=18.994 Y=-3.256 Z=151.477
X=19.814 Y=-0.541 Z=150.956
X=21.254 Y=3.847 Z=151.247
X=24.303 Y=7.814 Z=151.261
X=26.509 Y=11.119 Z=150.800
X=27.037 Y=13.355 Z=150.864
X=26.943 Y=15.287 Z=150.840
X=26.631 Y=17.913 Z=151.016
X=26.764 Y=20.156 Z=151.379
X=28.088 Y=21.442 Z=151.160
X=28.795 Y=21.508 Z=150.925
X=27.464 Y=20.101 Z=151.411
X=22.432 Y=18.683 Z=153.563
X=14.823 Y=15.588 Z=155.250
X=8.711 Y=6.828 Z=154.919
X=3.927 Y=0.581 Z=155.009
X=0.603 Y=-2.530 Z=153.540
X=-1.117 Y=-3.024 Z=153.342
X=-2.252 Y=-3.274 Z=153.785
X=-2.516 Y=-3.311 Z=153.829
X=-3.172 Y=-3.308 Z=154.014
X=-3.337 Y=-3.280 Z=153.833
X=-3.727 Y=-3.150 Z=153.630
X=-3.846 Y=-2.897 Z=153.652
X=-3.857 Y=-2.553 Z=153.559
X=-3.770 Y=-1.985 Z=153.472
X=-3.521 Y=-1.592 Z=153.318
X=-2.463 Y=-1.471 Z=152.924
X=4.288 Y=-4.884 Z=152.298
X=8.049 Y=-9.003 Z=151.285
X=8.627 Y=-9.375 Z=150.571
X=8.622 Y=-6.982 Z=150.444
X=8.775 Y=-4.569 Z=149.746
X=10.496 Y=-4.503 Z=149.282
