X=-14.949 Y=-3.523 Z=180.574
X=-14.194 Y=2.183 Z=175.882
X=-14.194 Y=2.183 Z=175.882
X=-14.862 Y=1.555 Z=175.897
X=-15.614 Y=-0.019 Z=176.790
X=-16.049 Y=-1.183 Z=177.049
X=-16.146 Y=-1.398 Z=177.134
X=-16.253 Y=-1.504 Z=177.085
X=-16.165 Y=-1.378 Z=176.368
X=-16.272 Y=-0.017 Z=171.889
X=-16.015 Y=0.605 Z=168.765
X=-16.205 Y=0.919 Z=167.502
X=-16.676 Y=0.794 Z=164.131
X=-6.875 Y=-1.533 Z=163.611
X=0.473 Y=-8.173 Z=163.528
X=5.871 Y=-17.984 Z=163.684
X=9.426 Y=-32.388 Z=164.121
X=7.081 Y=-40.903 Z=165.751
X=1.490 Y=-45.214 Z=166.315
X=-3.117 Y=-43.127 Z=168.467
X=-4.280 Y=-38.657 Z=170.409
X=-2.488 Y=-34.280 Z=172.411
X=-3.317 Y=-31.768 Z=174.308
X=-5.887 Y=-31.755 Z=175.110
X=-7.520 Y=-32.598 Z=174.363
X=-4.629 Y=-32.044 Z=172.617
X=-1.969 Y=-29.540 Z=171.682
X=-0.363 Y=-27.931 Z=171.578
X=0.492 Y=-27.752 Z=171.610
X=0.610 Y=-27.977 Z=175.350
X=-0.838 Y=-26.889 Z=178.955
X=-1.125 Y=-26.687 Z=179.303
X=-0.839 Y=-26.477 Z=178.634
X=-0.461 Y=-26.389 Z=177.898
X=-0.684 Y=-25.822 Z=177.137
X=-1.079 Y=-24.267 Z=176.560
X=-2.004 Y=-23.066 Z=176.105
X=-7.151 Y=-24.200 Z=175.132
X=-12.210 Y=-25.368 Z=175.431
X=-14.522 Y=-24.059 Z=175.954
X=-14.692 Y=-23.022 Z=176.140
X=-14.713 Y=-22.669 Z=176.142
X=-14.352 Y=-22.701 Z=176.102
X=-13.936 Y=-23.016 Z=176.091
X=-13.424 Y=-23.525 Z=175.960
X=-12.668 Y=-24.158 Z=175.916
X=-10.780 Y=-26.190 Z=175.460
X=-4.093 Y=-29.549 Z=174.964
X=6.202 Y=-31.317 Z=173.959
X=14.684 Y=-32.306 Z=174.687
X=18.652 Y=-34.226 Z=175.556
X=19.933 Y=-36.005 Z=175.265
X=20.227 Y=-36.909 Z=175.316
X=20.315 Y=-37.521 Z=175.361
X=20.318 Y=-37.656 Z=175.346
X=20.252 Y=-37.727 Z=175.311
X=20.151 Y=-37.792 Z=175.411
X=20.121 Y=-37.861 Z=175.443
X=20.113 Y=-37.866 Z=175.465
X=20.063 Y=-37.861 Z=175.521
X=19.554 Y=-37.734 Z=176.173
X=18.997 Y=-37.333 Z=176.910
X=18.597 Y=-36.998 Z=177.327
X=18.516 Y=-36.930 Z=177.423
X=18.467 Y=-36.803 Z=177.449
X=18.451 Y=-36.741 Z=177.459
X=18.427 Y=-36.663 Z=177.484
